7an	tujuan
mak jang	kaget
makasih	terima kasih
maksain	memaksa
malah	bahkan
malem	malam
malu2in	memalukan
mam	makan
mamz	makan
maneh	kamu
manies	manis
maniez	manis
mantep	mantap
mao	mau
markus	makelar kasus
masukin	masukkan
mba	mbak
melu	ikut
mending	lebih baik
mepet	dekat sekali
mgkn	mungkin
mgu	minggu
mhn	mohon
migas	minyak dan gas bumi
miker	minuman keras
mikol	minuman beralkohol
milis	mailing list
miras	minuman keras
mksd	maksud
mlah	malah
mls	malas
mngkn	mungkin
mnt	minta
mo	mau
moge	motor gede
mokad	mati
mokat	mati
moso	masa
mosok	masa
mpe	sampai
msh	masih
msk	masuk
mskpn	meskipun
mslh	masalah
msng2	masing-masing
mt	makan teman
muahal	mahal
mubes	musyawarah besar
muker	musyawarah kerja
mulu	melulu
mumet	pusing
mumpung	selagi
muna	munafik
munas	musyawarah nasional
munaslub	musyawarah nasional luar biasa
muntaber	muntah dan berak
musda	musyawarah daerah
musti	mesti
muup	maaf
muupz	maaf
muuv	maaf
mw	mau
mw	now watching
n	dan
nal	kenal
nanam	menanam
nangis	menangis
nanya	bertanya
naon	apa
napa	kenapa
napa	kenapa
napi	narapidana
napol	narapidana politik
napza	narkotika, alkohol, psikotropika, dan zat adiktif 
naq	anak
narkoba	narkotika, psikotropika, dan obat terlarang
narsis	bangga pada diri sendiri
nasgor	nasi goreng
nax	anak
nda	tidak
ndak	tidak
ndiri	sendiri
ndut	gendut
ne	ini
nekolim	neokolonialisme
nekolin	neokolonialisme
nelfon	menelepon
nembak	menyatakan cinta
ngabis2in	menghabiskan
ngabuburit	menunggu berbuka puasa
ngakak	tertawa
ngaku	mengaku
ngambek	marah
ngambil	mengambil
ngampus	pergi ke kampus
nganggur	tidak punya pekerjaan
ngantri	mengantri
ngapah	kenapa
ngapain	sedang apa
ngaret	terlambat
ngaruh	berpengaruh
ngasih	memberikan
ngawur	berbicara sembarangan
ngebandel	berbuat bandel
ngeceng	kumpul bareng-bareng
ngegosip	bergosip
ngeh	sadar
ngeklaim	mengklaim
ngekos	tinggal di kos
ngeksis	menjadi eksis
ngelamar	melamar
ngeles	berkilah
ngeliat	melihat
ngelidur	menggigau
ngemeng	bicara terus-terusan
ngerampok	merampok
ngerti	mengerti
ngga	tidak
nggak	tidak
ngibul	berbohong
ngikut	ikut
ngiler	mau
nginep	menginap
ngiri	iri
ngisi	mengisi
ngisiin	mengisikan
ngmg	bicara
ngmng	bicara
ngocol	lucu
ngomong	bicara
ngomongin	membicarakan
ngubek2	mencari-cari
ngumpul	berkumpul
ngurus	mengurus
ni	ini
nie	ini
niech	nih
nih	ini
nimbrung	ikut serta
niyh	nih
nkah	nikah
nmr	nomor
nnti	nanti
nntn	nonton
no	nomor
nobar	nonton bareng
nongkrong	kumpul-kumpul
np	now playing
nrp	narapidana
ntar	nanti
ntar	sebentar
ntn	nonton
nuhun	terima kasih
numpuk	bertumpuk
nunggu	menunggu
nutupin	menutupi
nyampah	membuat sampah
nyari	mencari
nyariin	mencari
nyekar	menyekar
nyiapin	mempersiapkan
nyicil	mencicil
nyiram	menyiram
nyoblos	mencoblos
nyok	ayo
nyokap	ibu
o/	oleh
ogah	tidak mau
ok	ok
ol	online
omdo	omong doang
ongkir	ongkos kirim
oon	bodoh
oot	out of topic
org	orang
org2	orang-orang
orkes	olahraga dan kesehatan
ortu	orang tua
ospek	orientasi studi dan pengenalan kampus
otda	otonomi daerah
otre	ok
otw	on the way, sedang di jalan
pa	apa
pacal	pacar
pahe	paket hemat
pake	pakai
pakek	pakai
pala	kepala
panja	panitia kerja
pansus	panitia khusus
pantura	pantai utara
parpol	partai politik
pas2an	pas-pasan
pasutri	pasangan suami istri
patas	cepat dan terbatas
pd	pada
pdhl	padahal
pede	percaya diri
pelatda	pemusatan latihan daerah
pelatnas	pemusatan latihan nasional
pembokat	pembantu
pemda	pemerintah daerah
pemilu	pemilihan umum
pemkot	pemerintah kota
pemprov	pemerintah provinsi
pemred	pemimpin redaksi
pengen	ingin
penjas	pendidikan jasmani
penmas	pendidikan masyarakat
perda	peraturan daerah
perek	wanita tuna susila
perhatiin	perhatikan
pertamax	pertama
pesenan	pesanan
pesenin	pesankan
pgang	pegang
pgi	pergi
phn	pohon
pi	tapi
pijetin	pijitkan
pilkada	pemilihan kepala daerah
pimpro	pemimpin proyek
pisan	sangat
pisgor	pisang goreng
pk	penjahat kelamin
pke	pakai
plg	paling
pm	private message
pmrnth	pemerintah
pny	punya
pohn	pohon
polantas	polisi lalu lintas
polwan	polisi wanita
ponpes	pondok pesantren
ponsel	telepon seluler
pp	pulang pergi
ppa	apa
prg	pergi
priksa	periksa
prnh	pernah
pro	profesional
psen	pesan
psn	pesan
pst	pasti
psti	pasti
pswt	pesawat
puanas	panas
pw	posisi nyaman
qmo	kamu
qmu	kamu
qt	kita
rakor	rapat koordinasi
rame	ramai
ranmor	kendaraan bermotor
raskin	rakyat miskin
rb	ribu
re	reply
red	redaksi
ref	referensi
reg	register
rehab	rehabilitasi
rejeki	rezeki
rempong	sulit
renstra	rencana strategis
repp	balas
reskrim	reserse kriminal
restik	reserse narkotika
rhs	Rahasia
rhs	rahasia
rmbt	rambut
rmh	rumah
rofl	rolling on the floor laughing
ru	baru
rudal	peluru kendali
ruko	rumah toko
rusun	rumah susun
rusunawa	rumah susun sewa
rutan	rumah tahanan
ruz	terus
s4	sempat
saia	saya
saiank	sayang
salting	salah tingkah
saltum	salah kostum
sampe	sampai
sampeyan	anda
samsek	sama sekali
sapa	siapa
sapose	siapa
satkorlak	satuan koordinator pelaksana
satpam	satuan pengamanan
say	sayang
sbb	sebagai berikut
sbg	sebagai
sbh	sebuah
sblm	sebelum
sbnrny	sebenarnya
scara	secara
scr	secara
sdg	sedang
sdgkn	sedangkan
sdh	sudah
sdkt	sedikit
sdngkn	sedangkan
se7	setuju
seabrek	banyak
sebelas dua belas	mirip
sekjen	sekretaris jenderal
sembako	sembilan bahan pokok
sempak	celana dalam
sempet	sempat
sempet2nya	sempat-sempatnya
sendratari	seni drama tari
sertijab	serah terima jabatan
sgt	sangat
sgtunya	segitunya
shg	sehingga
sidak	inspeksi mendadak
siech	sih
sieyh	sih
sikon	situasi dan kondisi
simpedes	simpanan pedesaan
sinetron	sinema elektronik
sip	ok
siramin	siramkan
sis	kakak perempuan
sj	saja
skali	sekali
skalian	sekalian
skl	sekali
sklh	sekolah
skrg	sekarang
skt	sakit
skul	sekolah
slesai	selesai
slh	salah
sll	selalu
slm	salam
slma	selama
slmt	selamat
slsai	selesai
slt	sulit
smpt	sempat
smua	semua
smw	semua
smwny	semuanya
sndiri	sendiri
sng	senang
soljum	sholat jumat
somse	sombong sekali
songong	sombong
sorry	maaf
sory	maaf
sosbud	sosial-budaya
sosek	sosial-ekonomi
sospol	sosial-politik
sotoy	sok tahu
sowry	maaf
spa	siapa
spd	sepeda
sppa	siapa
sprti	seperti
spt	seperti
spy	supaya
srtfkt	sertifikat
stelah	setelah
stiap	setiap
stiap	setiap
stlh	setelah
subbag	subbagian
suk	masuk
sumbangin	sumbangkan
sumpek	sempit
sy	saya
syg	sayang
syp	siapa
t4	tempat
tabanas	tabungan pembangunan nasional
tajir	kaya
tar	nanti
tau	tahu
taun	tahun
taw	tahu
tawh	tahu
td	tadi
tdi	tadi
tdk	tidak
te2p	tetap
teh	kakak perempuan
tekor	rugi
telat	terlambat
telkom	telekomunikasi
telmi	telat berpikir
telp	telepon
temen	teman
temen2	teman-teman
tengil	menyebalkan
tengok	menjenguk
tepar	terkapar
terbitin	terbitkan
tggu	tunggu
tgl	tanggal
tgu	tunggu
thanks	terima kasih
thankz	terima kasih
thd	terhadap
thn	tahun
thx	terima kasih
tilang	bukti pelanggaran
tipi	TV
tipiwan	TvOne
tkg	tukang
tks	terima kasih
tlg	tolong
tll	terlalu
tlp	telepon
tlpn	telepon
tls	tulis
tman	teman
tmbah	tambah
tmbh	tambah
tmen2	teman-teman
tmn2	teman-teman
tmpah	tumpah
tmph	tumpah
tmpt	tempat
tnda	tanda
tngu	tunggu
tnh	tanah
tnyta	ternyata
togel	toto gelap
tokai	tai
tokai	tai
toserba	toko serba ada
tp	tapi
tpi	tapi
tq	terima kasih
trdhulu	terdahulu
trgntg	tergantung
trima	terima kasih
trims	terima kasih
trm	terima
trnyt	ternyata
trs	terus
trus	terus
trutama	terutama
trz	terus
ts	penulis
tsb	tersebut
tst	tahu sama tahu
ttd	tertanda
ttg	tentang
ttp	tetap
tuch	tuh
tuh	itu
tuir	tua
tuwh	tuh
tw	tahu
tyap	tiap
u	kamu
u/	untuk
ud	sudah
uda	sudah
udah	sudah
udh	sudah
ujg	ujung
ujung2nya	ujung-ujungnya
ul	ulangan
ultah	ulang tahun
unyu	lucu
unyu	menggemaskan
uplot	unggah
uppu	apa
urang	saya
urg	saya
usah	perlu
utang	hutang
utk	untuk
utul	ujian tertulis
valas	valuta asing
vol	volume
w/	dengan
wad	buat
wadir	wakil direktur
wagub	wakil gubernur
wamil	wajib militer
waria	wanita pria
warkop	warung kopi
warnet	warung internet
warteg	warung tegal
wartel	warung telekomunikasi
wat	buat
wk	tertawa
wkt	waktu
wkwk	tertawa
wtf	what the fuck
wth	what the hell
xixixi	tertawa
y	kenapa
ya	iya
yad	yang akan datang
yap	iya
yapz	iya
yaudah	ya sudah
yauwda	ya sudah
yawdah	ya sudah
ybs	yang bersangkutan
yg	yang
yi	yaitu
yl	yang lain
yng	yang
yo	iya
yoha	iya
yowes	ya sudah
yuk	ayo
yup	iya
ywdh	ya sudah
aamiin	amin
abiz	habis
adain	adakan
admind	admin
ah	mengeluh
aih	mengeluh
aja	saja
ajah	saja
aje	saja
ajh	saja
alloh	allah
alus	halus
ampyun	ampun
ane	saya
anjay	anjing
apak	apa
apek	bau
ayuk	ayo
bagusan	lebih bagus
balesan	balasan
balikin	kembalikan
barapaan	berapa
barengan	bersamaan
barokallah	barakallah
bawahnya	bagian bawah
bbrp	beberapa
bedo	beda
belakangnya	bagian belakang
beliin	belikan
beneran	sebenarnya
benerin	benarkan
berapaan	berapa
berenti	berhenti
beres	selesai
bersihin	bersihkan
beuh	mengeluh
bgini	begini
bgitu	begitu
bgs	bagus
bgt	banget
bgtu	begitu
bgus	bagus
biasah	biasa
bikin	buat
bingit	banget
bingits	banget
bingitz	banget
bisah	bisa
bju	baju
bkal	bakal
blang	bilang
blanja	belanja
bleh	boleh
bli	beli
blnj	belanja
blnja	belanja
blom	belum
blasan	balasan
blsn	balasan
blus	blouse
bnget	banget
bngt	banget
bngts	banget
bocorin	bocorkan
bodone	bodohnya
bosen	bosan
brapa	berapa
brarti	berarti
brati	berarti
brenti	berhenti
bres	beres
brpa	berapa
brpaan	berapa
brpan	berapa
brpe	berapa
brti	berarti
budeg	tidak bisa mendengar
buwat	buat
bwah	bawah
bye	sampai jumpa
cakep	bagus
cakeup	bagus
cantiq	cantik
cantique	cantik
cantumin	cantumkan
capek	lelah
cba	coba
cepetan	lebih cepat
chek	periksa
ckup	cukup
clana	celana
cma	cuma
cntik	cantik
cpet	cepat
cpt	cepat
cra	cara
crnya	caranya
cs	customer service
cup	ayo
cus	ayo
cwe	cewek
cwo	cowok
dalamnya	bagian dalam
dalem	dalam
daleman	pakaian dalam
dalemnya	bagian dalam
dapatinnya	cara mendapatkan
dapet	dapat
dapetin	mendapatka
dbnerin	dibenarkan
depannya	bagia depan
detil	datail
dhbungi	dihubungi
diajakin	diajak
diganti	diubah
dijelasin	dijelaskan
dikit	sedikit
dilipet	dilipat
dimari	di sini
dimasukin	dimasukkan
diomongin	dibicarakan
dipake	dipakai
dipanjangin	diperpanjang
dirmh	di rumah
dirubah	diubah
disimpen	disimpan
disuruh	diminta
ditambahin	ditambahkan
ditaro	diletakkan
dki	daerah khusus ibukota
dlam	dalam
dm 	direct message
dobel	ganda
dpat	dapat
dpet	dapat
dritdi	daritadi
duluan	lebih dahulu
dund	dong
dung	dong
enakan	lebih enak
enga	tidak
ga	tidak
gaa	tidak
gabutuh	tidak butuh
gaes	teman-teman
gafaham	tidak paham
gakada	tidak ada
gakbisa	tidak bisa
gaks	tidak
gakuat	tidak kuat
gapunya	tidak punya
gausah	tidak usah
gede	besar
gedhe	besar
gelut	bertengka
gemesh	gemes
gemesin	menggemaskan
gercep	gerak cepat
gimna	bagaimana
gini	seperti ini
gituan	seperti itu
gmbr	gambar
gni	seperti ini
gtlo	seperti itu
gtu	seperti itu
habisisn	habiskan
haha	tertawa
hahaha	tertawa
hahahaha	tertawa
hadeh	aduh
hadeuh	aduh
halo	hallo
hape	handphone
haute	hari ulang tahun
hayo	ayo
hayu	ayo
hayuk	ayo
hbgi	hubungi
hehe	tertawa
hehehe	tertawa
hiks	sedih
hp	handphone
hrg	harga
hrga	harga
hub	hubungi
huft	mengeluh
huhu	sedih
huhuhu	sedih
ieuk	ayo
ih	jijik
ijin	izin
ijo	hijau
ikutan	ikut
infoin	infokan
inih	ini
inshaallah	insyaallah
insyallah	insyaallah
ist	istimewa
iyah	iya
iyak	iya
jabar	jawa barat
jadiken	jadikan
jadikeun	jadikan
jakbar	jakarta barat
jaksel	jakarta selatan
jaktim	jakarta timur
jakut	jakarta utara
jaman	zaman
japri	jaringan pribadi
jastip	jasa titip
jateng	jawa tengah
jatim	jawa timur
jkrt	jakarta
jkt	jakarta
jngn	jangan
jugak	juga
jum'at	jumat
kabari	beri kabar
kasi	beri
kasian	kasihan
kasih	beri
katain	ejek
kayak	seperti
kayaknya	sepertinya
kbgian	kebagian
kbrin	beri kabar
kcuali	kecuali
keabisan	kehabisan
keambil	terambil
keapus	terhapus
kebakar	terbakar
kebalik	terbalik
kabnyakan	terlalu banyak
kebeli	terbeli
kebesaran	terlalu besar
kebon	kebun
kece	keren
kecey	keren
kegedean	terlalu besar
kekecilan	terlalu kecil
kelar	selesai
kelebihan	berlebihan
kelewat	terlewat
keluarin	keluarkan
kelupaan	terlupa
kepanjangan	terlalu panjang
kernjang	keranjang
kesel	kesal
keyen	keren
khbsn	kehabisan
kirain	saya pikir
klewatan	terlewat
kliatan	terlihat
klupaan	terlupa
kmaren	kemarin
kmarin	kemarin
kmbali	kembali
kmn	kemana
kmna	kemana
kmren	kemarin
kmu	kamu
knapa	kenapa
kocak	lucu
komen	komentar
komplen	komplain
konfirm	konfirmasi
kowe	kamu
kpan	kapan
kramat	keramat
kranjang	keranjang
kren	keren
krmh	kerumah
krna	karena
krnjang	keranjang
ketinggalan	tertinggal
ktp	kartu tanda penduduk
kuy	ayo
kyut	itum
kzl	kesal
lagih	lagi
lanjutin	lanjutkan
laper	lapar
lbh	lebih
lbih	lebih
lemot	lambat
lgsung	langsung
lucuk	lucu
lucuw	lucu
luv	cinta
mauk	mau
makai	memakai
makasi	terima kasih
make	memakai
makmak	ibu-ibu
males	malas
mantab	mantap
mantengin	melihat
mantep	mantap
manteps	mantap
maren	kemarin
masbro	kakak laki-laki
mash	masih
masi	masih
mauk	mau
maw	mau
mba	kakak perempuan
mbk	kakak perempuan
mdah	mudah
megang	memegang
mesen	pesan
mesti	semestinya
mimin	admin
mintak	meminta
mkasih	terima kasih
mksh	terima kasih
mksi	terima kasih
mnat	minat
moga	semoga
motong	memotong
muehehe	tertawa
mules	mulas
mupeng	ingin
muter	memutar
nahan	menahan
naksir	tertari
nambah	tambah
ndk	tidak
neh	ini
nganter	mengantar
ngasah	mengasah
ngecek	memeriksa
ngecewain	mengecewakan
nggk	tidak
ngincar	mengincar
ngincer	mengincar
ngirim	mengirim
ngiris	mengiris
ngjar	mengajar
ngk	tidak
ngomong	berbicara
ngrti	mengerti
ngulang	mengulang
ngumpetin	menyembunyikan
ngumpulin	mengumpulkan
nitip	menitipkan
njay	anjing
njir	anjing
nmor	nomor
nnya	bertanya
nolak	menolak
nomer	nomor
nongol	muncul
ntr	nanti
nungguin	menunggu
nunjukin	menunjukkan
nutup	menutup
nyatu	menyatu
nyebelin	menyebalkan
nyerap	menyerap
nyesel	menyesal
nyetak	mencetak
nyimpan	menyimpan
nyimpen	menyimpan
nympe	sampai
nyobek	merobek
ohemji	oh my god
ok	oke
okay	oke
okey	oke
orderan	pesanan
ori	asli
original	asli
padahl	padahal
padet	padat
pantengin	tonton
pantes	pantas
pembyrn	pembayaran
pertma	pertama
pesen	pesan
pgn	ingin
pict	gambar
pie	bagaimana
pilihin	pilihkan
piso	pisau
pkek	pakai
pkl	pedagang kaki lima
plis	mohon
pls	mohon
plz	mohon
pngen	ingin
podo	sama
