no,id,content,main post,poster post,label
29,ensahasan,melody blouse sunkist M please DM,no,no,x
30,dewirahmawatiy,Yg ada salem dm dong,no,no,x
31,aaliyahijab,Coba yg keranjang belanja kosong tiba2 cek email masing2 soalnya td aku gitu tiba2 masuk email kalo berhasil,no,no,x
32,ririalbersi,Alhamdulillah konfirmasi sudah done,no,no,x
33,yasminowl,"Yg kebagian Melody Fuschia size M,,mau donk",no,no,x
34,nandashain,sis kok masih proses checkout yah dari tadi @vanillahijab,no,no,x
35,azmeer_yasmine,kok ga ada pilihan beli sih? hnya harga aja 😑,no,no,x
36,novitarestisa,Yg punya melody blouse sunkish/choco please DM,no,no,x
37,dewirahmawatiy,Yg ada salem L dm dong please,no,no,x
38,ekkazhiie,"Yg minat swing blouse jeans uk.L Dm ywhh... hrga vanilla aj , cz kelebihan beli",no,no,x
39,hijablily,Avail swing blouse misty S,no,no,x
40,riyantipuspitasari,"Yg punya melody blouse L (fuschia, jeans, or any color kasi tau yaa..mau ambiil) 😁",no,no,x
41,dr.amanda_amalia,Melody fuschia size M klo ada mau donk,no,no,x
42,aunymaulida,"udh ditotal, terus loading berkali2 malah sold out 😑",no,no,x
43,hannyamelia93,Yana hijab instantnya ga diposting sist ? @vanillahijab,no,no,x
44,anditaratih,Yg pnya melody black m n swing lips xl dm dunk. Yg bsa shopee wil. Jkt ya,no,no,x
45,untarizaeca,Warna lainnya kapan launch?,no,no,x
46,intanapriani13_,Blm dpt email nyaa @vanillahijab,no,no,x
47,rosalia_kusumadewi,SWING BLOUSE BENZ L ready yaa 😊🙏🏻,no,no,x
48,sutari_ningsih,Semoga ada sisa hut and run,no,no,x
49,paperproject.id,@aunymaulida betuuull,no,no,x
50,windamifta,Alhamdulillah DONE..melody blouse jeans size L.. 😊,no,no,x
51,tokoklipjilbab,Jilbab instan nya ga jd upload ya,no,no,x
52,vionawulandari,Udah masuk keranjang trs tau2 hilang...jadi sediiiih...,no,no,x
53,hijabcantikos,"swing XL warna jeans,khaki XL ready soon",no,no,x
54,momshagajunior,Ko aq ga dpt konfirmasi di email yah ka @vanillahijab  tpi udah sesuai alur... smpe dpt totalan + kode unik... q lanjut trus ilang... gmn atuh lanjut tf ga nih,no,no,x
55,arfi_sbya,"Available swing Blouse Jeans S, Moka S, Dustu XL, minat bisa DM",no,no,x
56,andhikamega,"udah ditotal,dan udah klik tp langsung tas belanja kosong,, gitu berkali2 😭",no,no,x
57,orinrinihestilasa,"Udh msk keranjang, tiba2 abis sedihh",no,no,x
58,fuji2992,"Ready swing blouse benz m, melody sunkist L, melody fuschia xl, melody khaki m, jasmine pink",no,no,x
59,amaliananana,Melody blouse croco dong yg punya dm,no,no,x
60,nila_anggraini,Kak kapan restock lagi 😭,no,no,x
61,ila_queen_123,Ready melody blouse dusty XL,no,no,x
62,rifaaghniya,Klo ad melody blouse size M ak mauuu..terkhusus warna DUSTY,no,no,x
63,snowypingu,Yg punya melody blouse jeans S dm,no,no,x
64,nikenekadini,Yg punya Melody Fuschia S Dm aku pliiisss 🙏🙏🙏,no,no,x
65,ranievaa7,Segi 4 jasmine DM yaa....sudah berhasil confirm payment.,no,no,x
66,paperproject.id,@arfi_sbya cek dm.. Swing jeans s 1,no,no,x
67,kenzie4876,Kalo ada yang punya melody blouse warna jeans dan fushia size S,no,no,x
68,verbena_hijab,@taqwanda27 saya ada teh melody sunkis S 😊,no,no,x
69,ndaamanda,Avail swing blouse size M salem 2,no,no,x
70,kaysha_aqa,Yg punya melody blouse size M sunkish or emerald or olive klo bs area sby dm ya 😊,no,no,x
71,narashopp.id,Available segi4 dusty pink dan mint.  Minat dm,no,no,x
72,vina_lm,Njirr kehabisan stok!  Ini gmna sih?!!! Kok bikin kesal ya.. 😈😈😈,no,no,x
73,mimii_windowshoper,"Gimana mau cancel wong tau2 ilang dri keranjang, padahal uda tinggal klik pesan..muter2 aja tau2 zonk 😁😂 @vanillahijab",no,no,x
74,novitaabe,yg peach /pink uk s bisa dm?,no,no,x
75,dyupreloved,"kak, saya ada melody blouse sunkis size L, swing blouse benz size L, segi 4 jasmine dustypink, segi 4 jasmine laude. Minat boleh DM. terimakasih",no,no,x
76,herni_re,Masa udah sold out semua 😔,no,no,x
77,shanhazz,Cpet bgt abisnya huaaa,no,no,x
78,harty_adzkia,Baru mau klik pesan..malah dah sold out..ya Allah,no,no,x
79,tokoklipjilbab,"@momshagajunior brarti g dpt..bs cek history pesanan di akun saya bun,,cek dl klo ada bru bs d trf",no,no,x
80,fenufa28,Avail : melody emerald dan dusty XL ya,no,no,x
81,ganiafarizi,Udah sold out lagi aja :(,no,no,x
82,chaviagallery,Ready soon segi 4 jasmin all warna😊,no,no,x
83,elisanurma,Yah sold out swing blouse nya,no,no,x
84,kickyayu,Ada yg kebagian swing blouse yg pink/lips. Pliss dm,no,no,x
85,chanfson,Yang cari swing blouse salem ukuran M bisa DM YA :),no,no,x
86,czher,Mengecewakan udah nunggu dari sejam yg lalu ga kebagian 😢😥,no,no,x
87,han.avi0,"Yang ada stok melody dusty, mau dong...",no,no,x
88,murni_chatabella,Pengen yg emerald size S,no,no,x
89,hematnmurmer,Swing blouse misty SM tiramisu S silakan dm,no,no,x
90,vatrynshah,ada yg punya melody emerald L pls DM,no,no,x
91,rahmadhinia,"Yg punya melody croco M, bs via shopee,dm ya",no,no,x
92,chanfson,Yang cari swing blouse misty ukuran XL bisa DM YA :),no,no,x
93,syifalophoda,"Lookinh for : Melody croco M, swing blouse misty M, kalo ada DM yaa :))",no,no,x
94,msglowby_sr,"Avail swing blouse ada 7 wrna size S, minat cek ig kita ya pengiriman dri malang , free ongkir via shopee 🙋‍♀️😉",no,no,x
95,mitatoon,Tiap loading shopping chart berkurang satu per satu.  Wes wassalam..byeeeee 😂😂😂,no,no,x
96,alinaraayyasy,"20 mnt disuruh ""sabar ya sis"" alhasil keranjang belanja kosong.. #kecewaberat 😖",no,no,x
97,ila_queen_123,@han.avi0 sy ready sis size XL,no,no,x
98,nurdianaaa07,Ada yang punya melody sunkiss S pls DM yakk.,no,no,x
99,hello_adv,hi sis! di @hellohijab_id masih ada BLOUSE nya😍😍 yuk langsung hubungi kontak di bio!🎈⚡️ nikenekadini @atharmel_19 @sutari_ningsih @atien_kechenk @kittenlova_ @rifaaghniya @taqwanda27 @vionawulandari @dewirahmawatiy @novitarestisa,no,no,x
100,de_di_chi,Melody fuschia s plis dm dong,no,no,x
101,shaura29,Ready Segi4 Jasmine Warna Mint sisa 2pcs ya sis. DM aku jika fix order,no,no,x
102,tuanputriwidya_ramdhani,Bsk ada hit n run ga sis?,no,no,x
103,nila_anggraini,Yang punya melody blouse sunkish size L dm ya,no,no,x
104,afridaharyanti,Ga kebagian lg😭,no,no,x
105,anditaratih,Yg pnya melody blouse black M bsa dm ya,no,no,x
106,raratih10,Avail melody blouse black size xl da dusty size s minat lgsg DM 😊😊,no,no,x
107,snowypingu,Melody jeans S mau,no,no,x
108,ririnramdanii,Alhamdulillah dapet juga 😀😀 deg deg an nya itu loh bikin greget 😊 sukses selalu @vanillahijab,no,no,x
109,paperproject.id,@mitatoon iya betuuul 😞😞,no,no,x
110,msglowby_sr,"Avail swing blouse ada 7 wrna size S, minat cek ig kita ya pengiriman dri malang , free ongkir via shopee 🙋‍♀️😉",no,no,x
111,pumpkin_id,"Ready swing bluse benz, melody blouse black, melody blouse choco.. cek IG kita sis..",no,no,x
112,iqkishop,Yuks yg mau Melody Fuchia S & Segi4 Jasmina Dutypink bisa DM😉,no,no,x
113,raisar.shop,"Cek out sold out, penuh tipis harapan dpt. Hikshiks",no,no,x
114,inayhahijab,"🙋🙋🙋Ready soon,  segiempat jasmine. Shipping dr kediri. Yg minat,  monggo DM 😊",no,no,x
115,yunisartikaaaa,Gak kebagian swing blouse 😩😩😩,no,no,x
116,anandayasinda,masih kebagian melody blouse (black) dan sdh konfirmasi payment. Alhamdulillaaaaah tgl duduk manis ❤ Thank you @vanillahijab.,no,no,x
117,trymayaoctavia,@vanillahijab aku gak dpt email...tp di history akun ada totalan yg harus ditransfer..itu berhasil gak mba?,no,no,x
118,arista.simply.collection,"Available, Melody Blouse Grey size XL.",no,no,x
119,rumahhijab_official,Titipan aman. Alhamdulillah.. 💕,no,no,x
120,fitri_wulandari93,Yang punya melody size M warna olive n black dm sis😭,no,no,x
121,syifa_fauzi,Yg punya melody blouse M dm ya,no,no,x
122,diannovita111,Yamg punya melody lips S dan swing blouse dusty s mau ya...,no,no,x
123,agestyaning,Yang mau lepas melody blouse M bisa dm aku makasi:),no,no,x
124,_nabilamp_,Melody blouse Jeans M dan swing dress S Benz/lips kontak ya,no,no,x
125,verraherlianaa,"Swing blouse size s , minat?",no,no,x
126,opie_lubna,Huhuhu gak kebagian swing... Padahal udh di keranjang belanja pas mau lanjut pembayaran gagal coba beberapa saat lagi,no,no,x
127,cindy_alfas,Avail swing blouse khaki L melody blouse black and sunkish size M,no,no,x
128,elismahfudz,"Available JASMINE Mint,white,Dusty",no,no,x
129,dylafdyllah,"Kalo ada swing blouse yg salem size M ,dm ya",no,no,x
130,nanceshops,Yg msh da melody fushia M & segi4 jasmine white DM saya y,no,no,x
131,fazzia.id,Jasmine ready ya. Bisa dm ya,no,no,x
132,mfathikasari,Yah ga kebagian :(((,no,no,x
133,itsayu13,Melody blouse jeans xl ada yg punya?,no,no,x
134,mfathikasari,Melody blouse size S 😞,no,no,x
135,nayna_hijabmodis,"Melody blouse black size xl,sakura dustypink,white minat silahkan cek ig yah",no,no,x
136,ghias.mzein,Ready segi4 jasmine mint dan swing blouse misty M. Minat dm 😊,no,no,x
137,8807vr,Ready soon swing dress khaki size M . Pengiriman Dr Jakarta,no,no,x
138,rainisa.shop,"Ready soon jasmine mint, dusty pink, laude kirim dr jakarta",no,no,x
139,fahrunnisalaila,Melody jeans size L bisa shopee ada yg punya?,no,no,x
140,mira880316,"Yang punya Melody blouse fuschia XL dan melody jeans size S , trus swing blouse Lips size S DM yaaaa",no,no,x
141,muliarahmatina,"Huhuhu gak kebagian jasmine dusty nya, udah keburu solt out",no,no,x
142,intan.secondyani,Yang punya swing blouse white uk M dm please,no,no,x
143,senjazzlin,"Jasmine, swing blouse khaki size S, minat DM",no,no,x
144,_nabilamp_,Yg punya swing Bens atau lips S mau ya,no,no,x
145,zizah.zi,yanh punya melody jeans size S mau dong..,no,no,x
146,ella_nn,"Yang punya swing blouse S , DM yaa",no,no,x
147,mimii_windowshoper,"DICARI : Melody Fuschia L,Black L,Jeans M,Olive M,Croco L,Emerald S. Diutamakan shopee yaa 😊🙏",no,no,x
148,nisa.septikhairunnisa,Ready soon segi4 jasmine all colour.. Bisa shopee,no,no,x
149,snowypingu,Melody jeans S mau,no,no,x
150,rosalia_kusumadewi,"SWING MOKA M , SALEM L , BENZ L , LIPS M ready yaa 😊🙏🏻",no,no,x
151,lu2k_28,Yg ada melody dusty or fushia or olive sz. s/m dm yah via shopee,no,no,x
152,citraoktavinni.rs94,Ready soon. Jasmine segi4 all colour. Pengiriman tangerang. Yg minat bsa dm ya siscanku. Trima kasih🙏😘,no,no,x
153,tianafenny,Ko udh sold out smua nya ☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️,no,no,x
154,narashopp.id,@muliarahmatina cek dm mba,no,no,x
155,tbalqiss,Akupun kehabisan.. Oh My... Kesell deh belanja gak pernah fapet,no,no,x
156,sestriana_mutia,Pengen yg melody emerald XL,no,no,x
157,yunandamutiara,"Melody fuschia S please, adakah?",no,no,x
158,zizie_pratiwi,Ready soon melody black size m 😁 kirim dr jaksel,no,no,x
159,citraoktavinni.rs94,@trymayaoctavia berhasil ko mba jka ada di history.,no,no,x
160,yuniastutifitriani,melody black size M atau swing blouse jeans size M ada yg punya?,no,no,x
161,ranievaa7,Aku dpt sis jasmine segi 4 sudah confirm payment sissy sissy,no,no,x
162,anditaratih,Ada yg pnya melody black M? Dm dunk,no,no,x
163,zainahijab_id,Segi 4 jasmine dusty pink dan laude ready,no,no,x
164,callulahijab,"READY SOON : Swing blouse tiramisu size L, salem L, lips XL. Jasmine dusty pink, ladure. DM yuk 😊",no,no,x
165,tndbutik,Ready soon swing blouse lips m dan benz L melody blouse dusty m grey L olive L yg mau dm ya bisa order lewat shopee,no,no,x
166,famous_label,@muliarahmatina aku ada mba..bisa shopee jg,no,no,x
167,contagious_shop,Ready soon melody blouse fuschia dan swing blouse tiramisu XL dm aja ya😊,no,no,x
168,asripertiwis,Alhamdulillah pertama order langsung dapet :'),no,no,x
169,linggapurnasari,Gak kebagiannnn. .. .melody emerald. .. M. .. .😥,no,no,x
170,ceryland,@trymayaoctavia mungkin masuk di folder spam kak emailnya :),no,no,x
171,akulitaaa,"Ready segi4 justmine SEMUA WARNA (stock ga banyak), ready swing blouse Misty L, Moka M,  benz L. DM aku aja yah sist 😊",no,no,x
172,nadiakarinaputriiii,Melody choco size xl ada ga,no,no,x
173,nadiakarinaputriiii,Plisss dm,no,no,x
174,alya_hnf,"Yg minat swing blouse S , segi4 jasmine dusty pink n mint , dm z yaa",no,no,x
175,tasfashion16,"Nyabar swing Salem XL/L, M. Benz L .  Dm segera please",no,no,x
176,dyahhrp,@vanillahijab open lagi buat yang hit &  run dong sis..,no,no,x
177,diztayoung,Melody olive ukuran s yg ada dm dong please,no,no,x
178,anez_minoz,Pesennya sambil doa dan alhamdulillah dpt melody blouse&swing blouse..bru kali ini bs dpt😁,no,no,x
179,claireshop26,Ready swing mokka S & melody grey S,no,no,x
180,firdisty,"Ready soon jasmine smua warna, yg minat DM yaa 😘😘",no,no,x
181,flatshoess_cantik,"yang punya melody warna croco L mau dong, dm aku ya",no,no,x
182,amythamy,Dear @vanillahijab aku sudah mendapatkan no pesanan (dr order history) tapi tidak ada masuk email.. sudah transfer tapi tdk bisa konfirmasi please help 😭😭😭,no,no,x
183,cakechak,"Ready soon Segi 4 Jasmine SEMUA WARNA, MELODY BLOUSE Black Size S. Minat DM 🌸",no,no,x
184,nmasitah,Swing blouse benz M yg minat langsung ke @nubless_jastip yaaa,no,no,x
185,tiwiutomo_,Hebat bgt yah tangannya cpt2 hehe dan lagi2 saya kurang cepet hahahaha yg punya melody black/croco xl mau donk hehe😅,no,no,x
186,trymayaoctavia,@ceryland oh gt ya mba...brati transfer aman yah? Maklum member baru heheh,no,no,x
187,lovehijabeveryday,Saya blm dpt email @vanillahijab,no,no,x
188,ila_queen_123,Ready swing dress misty L ya bs shopee. Dan ready kerudung ny smua wrn. Bs shopee,no,no,x
189,sraraayu,gak ke bagiaan.. 😢 sedih bangeet,no,no,x
190,carissa.ar,@amythamy ulangin lagi aja kak konfirmasinya. tadi aku jg gabisa konfirmasi awalnyaaaa,no,no,x
191,cindy_alfas,@nadiakarinaputriiii dm saya ya,no,no,x
192,nayna_hijabmodis,"Melody black xl,sakura jasmine dustypini,white yang minat silahkan cek ig yah",no,no,x
193,sasha6_,Vanilla gercep bgt huhu,no,no,x
194,annisaarach,"Ada yang punya Melody sunkis XL dan olive XL, swing blouse jeans dan tiramissu XL?? Yang bisa shopee dan pngiriman dari jabodetabek. Dm yaa",no,no,x
195,erlynsoraya,Saya udah dpt total dan kode unik ny tp giliran mau lanjut ke pembayaran hilang kantong belanjaan ny 😭😭😭 mau order ulang jg nggk bisa @vanillaforclothing,no,no,x
196,nazwa_zahwa,"samaaaa mbaaaa... sy brsn jg lgs tf, tp mau konfirmasi blm dpt no.orderan nya.. @amythamy , klo ad yg tau gmn caranya, mnta tlg infonya ya.mksh",no,no,x
197,akulitaaa,"Ready segi4 justmine SEMUA WARNA (stock ga banyak), ready swing blouse Misty L, Moka M,  benz L. DM aku aja yah sist 😊",no,no,x
198,dheanovita28,Telat terus pas dicheckout 😂,no,no,x
199,ayudevi.yudepii,Yang punya melody croco M mau donk 😁,no,no,x
200,nurazyzah,Jaringan dirumah lemottt pas udha stabill barangnyaa soldout 😂😂,no,no,x
201,raniisnafitriani,"Sempet dikasih notif @vanillahijab penuh 2 kali pas mau pembayaran, refresh lagi akhirnya dapet swing blouse jeans, melody blouse croco dan jasmine mint 😅 penuh perjuangan ya shayyy😂",no,no,x
202,houseof_humairoh,"Ready Melody Blouse Jeans size L, Jasmine Mint dan White. Yuk yg minat DM ajaa yaa sist 😊",no,no,x
203,amythamy,@erlynsoraya kalo ada kode unik coba cek history belanjanya kak,no,no,x
204,nufrashop,Ready segi4 jasmine white dan laude..bsa freeongkir via shopee ya..dkrim dr bandung,no,no,x
205,amythamy,@carissa.ar aku udh ulang beberapa kali masih gabisa 😭😭😭 panik 😭😭😭,no,no,x
206,fahrunnisalaila,@houseof_humairoh bisa shopee sis?,no,no,x
207,ila_queen_123,Ready swing dress misty L.. dan segi4 jasmine pink..white dan laude..bisa shopee,no,no,x
208,nurazyzah,Melodi crocoo xl ada yg punya ??,no,no,x
209,umikhalisaz,Klo status orderan pending gmn ya mba @vanillahijab .... Saya mau transfer tp tkt orderan saya gagal... Mohon info ya mba @vanillahijab,no,no,x
210,amythamy,@nazwa_zahwa nomor ordernya ada di history belanjanya kak td aku juga liat dr situ krn gak ada di email 😭😭,no,no,x
211,houseof_humairoh,@fahrunnisalaila Aku DM yaa 😉,no,no,x
212,triana_ayum,"Yang ada melody croco dan blouse swing jeans,mau dunk kak..td uda msuk krnjang,pas selanjutnya uda abis aj😭",no,no,x
213,triana_ayum,Size M,no,no,x
214,irma_queisha.gallery,Gak kebagian melody blouse 😭😭😭,no,no,x
215,irizshop_1,Ready segi 4 jasmine white dan mint . Minat dm yaa,no,no,x
216,uniqlohijab,"Melody Blouse Croco S, minat DM yaa",no,no,x
217,asyfahshop,"Ready to booked segi4 jasmine semua warna 75, melodi grey M, swing tiramisu xl 190, pengiriman jakarta timur, bisa cek IG langsung jika minat, thanks😊",no,no,x
218,relsha_shine,"Avail swing blouse benz L,moca L +11rb😉",no,no,x
219,anandayasinda,"no.order ada di rincian pesanan mbak (klik my account di web vanilla) atau cek emailnya, kalo ga ada i inbox mungkin masuk spam mbak @nazwa_zahwa #bantu jawab",no,no,x
220,_nabilamp_,Dicari swing dress Benz s / Lips S dan melody Jeans,no,no,x
221,hi.biscus.id,"Ready soon, Swing Blouse Lips XL 🙋🙋🙋",no,no,x
222,tiwika_gallery,"Avail swing blouse benz xl,salem xl,jeans xl,moka L,tiramisu L",no,no,x
223,evi_luvita,"Yg punya swing blouse lips size M, DM ya",no,no,x
224,ishop.kuningyellow,"Ready segi4 Jasmine all colour, pengiriman Jakarta. Minat dm ya 😘 😘",no,no,x
225,astri_iiii,Sissttt @vanillahijab udh trf tp kok katanya no pesanan anda tdk terdaftar?,no,no,x
226,mela_hermawantika,"Saya sudah transfer dan konfirmasi pembayaran, cuma setelah cek email ga dapet email mba jd gmn ya @vanillahijab @vanillaforclothing",no,no,x
227,mollynoedyes,Please yg punya swing salem s😭😭,no,no,x
228,iconiaa_collection,Ready jasmine all wrna..,no,no,x
229,furinfarin,"Ready segi4jasmine all colour, swing blouse jeans M benz M moka S, melody blouse grey M fuschia L. Kirim dr depok bisa shopee",no,no,x
230,mollynoedyes,@alya_hnf warna apa mbk,no,no,x
231,luvagallery,"Ready soon Swing Blouse benz XL, Lips XL, Khaki XL dan Melody Blouse Emerald XL, Grey XL. Pengiriman tangerang ❤",no,no,x
232,tasfashion16,@tiwika_gallery masih ada Salem XL? Benz XL? Ada shopee?,no,no,x
233,sorayagallery.id,"Ready Swing Khaki M 180rb, Melody Grey M 180rb, Segi4 Jasmine Laude dan White 74rb. Free ongkir via shopee. Minat dm ya.",no,no,x
234,ranievaa7,Ready segi 4 jasmine sudah success confirm pembayaran......boleh DM sissy2,no,no,x
235,nazwa_zahwa,"Alhamdulilah, terimakasi mba atas bantuannya , ini sdh bisa akhirnya.. 😊🙏🙏 slm.kenal ya mba @anandayasinda",no,no,x
236,novita.wibowo,Yang punya melody blouse jeans s atau m mau yaaa,no,no,x
237,novianaasmoro,Yang punya swing blouse lips uk S dan jasmine laude dm yaa,no,no,x
238,vanillahijab.jastip,Ready Soon Swing Blouse Benz L. Swing Blouse Tiramisu L. Moka L,no,no,x
239,anandayasinda,samasama mbak @nazwa_zahwa 😘 ikut seneng krn sdh bs confirm payment. Salam kenal jugaaa..,no,no,x
240,a.morestore,Swing size S M L saya ada ya,no,no,x
241,rosalia_kusumadewi,@novianaasmoro jasmine laude sy ada mba,no,no,x
242,a.morestore,"Melody size L fuscia , emerald M , khaki L",no,no,x
243,ayudiyah28,Udah sold out aja😢,no,no,x
244,attielatifah,hahaha neng @trymayaoctavia akhirnya order vanilla jg.. si bunda ga diajakin？？ ntar mau lhooo dia.. wkwkwk,no,no,x
245,amma.closet,@annisaarach melody blouse XL crocho ready soon,no,no,x
246,amma.closet,@nurazyzah sy ada melody croco size XL,no,no,x
247,rahmahwaty,Pngen rosie bag ad yg jual,no,no,x
248,tri.hartini11,Ka klo email saya ga bisa di buka gmna iya? @vanillahijab sudh lma ga order? Tdi udh dpet mau buka email ga bisa,no,no,x
249,fitri_wulandari93,Yang punya melody black dan olive dongk...,no,no,x
250,hijab_cantik2052,Swing blouse size S.. yg minta bisa DM,no,no,x
251,mumuqueenn,"Melody sunkis L, dusty xl, segi4 jasmine smua wrna silahkan dm 😊",no,no,x
252,fenufa28,Last stock melody dusty XL ya,no,no,x
253,amythamy,Akhirnya bisa konfirmasi pembayaran setelah gagal terus menerus.. tapi tetep gak ada email masuk 😌😌😌,no,no,x
254,fepikn_project,Ready to book swing dress white M,no,no,x
255,retnojuita,Yg punya melodi dan swing ukuran s kbrin y,no,no,x
256,hematnmurmer,"Swing blouse size s,  dm",no,no,x
257,dwiraaa,Nunggu besok aja ah melody blouse nya @vanillahijab 😄 siapa tau ada yg hit n run.. 😄😄,no,no,x
258,heloowin,"SWING BLOUSE XL , DM DONG 😭",no,no,x
259,suciseptianida,"Ready soon segi4 jasmine semua warna, dm yuk",no,no,x
260,cindy_alfas,@heloowin cek dm,no,no,x
261,amythamy,@nazwa_zahwa sudah konfirmasi ada email masuk gak mba ? Aku gak dapet email soalnya ☹️,no,no,x
262,life_style_kita,Masi ready melody S Dan srgi empat Katya black hana instan Rubi Cek IG 😊😘,no,no,x
263,kariikartun,Keambil orang terus belanjaan saya 😭 @,no,no,x
264,tasfashion16,@vanillahijab.jastip Benz L ada?,no,no,x
265,ranievaa7,"(Jasmine) Laude, dusty pink, white ready!!! Boleh DM",no,no,x
266,tiwika_gallery,@tasfashion16 masih say..shopee ada,no,no,x
267,hijrahforheaven,Ready soon SWING BLOUSE in size L #hijrahforheaven ❤,no,no,x
268,tasfashion16,@tiwika_gallery  DM saya mbak.,no,no,x
269,anditashop_id,Avail segi4 jasmin All colour. Minat bsa dm ya,no,no,x
270,iconiaa_collection,@heloowin aku ada xl kaka,no,no,x
271,chrlyna,"ready segi4 jasmine semua warna , dm sis pengiriman dari malang",no,no,x
272,arfi_sbya,"Melody  blouse Dusty XL , silahkan apabila berminat 😘",no,no,x
273,loveandbuy_os,Swing blouse tiramisu XL minat DM ya,no,no,x
274,garagesale_duowawa,"ready swing Blouse Benz / grey sz XL , yg minat bs lgs cek IG yaa..trims",no,no,x
275,shaura29,MELODY BLOUSE & SWING BLOUSE READY ALL COLOR masing2 1pcs. DM now,no,no,x
276,zizah.zi,"melody blouse jeans size S atau M, mau dong",no,no,x
277,dzkia_shop,"Ready swing blouse jeans S, yg minat bisa dm ya",no,no,x
278,re5ka.79,"Ready soon melody blouse, bisa free ongkir shopee",no,no,x
279,anniebunnie28,Kehabisan 😕,no,no,x
280,a.morestore,Swing blouse TIRAMISU S,no,no,x
281,adellafatma24,Stock nya dikit banget 😭😭 uda sold aja,no,no,x
282,rosalia_kusumadewi,SWING MOKKA M ready yaa 😊🙏🏻,no,no,x
283,ekasputri_goodstuffbylove,Available melody blouse size s dan segi4 holand di @goodstuffbylove 😊,no,no,x
284,ahk.hijab,💕💕💕,no,no,x
285,rany_uc,Hi aku tadi beli 2 melody karena ragu antara ukuran M (grey) atau L (biru muda). Rencananya mau coba dulu kira2 yg pas yg mana. Kalau ada yg mau bisa dm aku ya. Thanku :),no,no,x
286,ghias.mzein,Masih ready swing blouse misty size m dan segi4 jasmine mint. Dm ya ka 😊,no,no,x
287,agestyaning,Yang mau lepas melody blouse M warna olive bisa dm aku ya makasi,no,no,x
288,a.morestore,SWING BLOUSE TIRAMISU S 185.000,no,no,x
289,dinovya,"Iya pulang ngaji mau Order cuma telat sejam langsung Sold out -_-""",no,no,x
290,khalisha_sisters,Ready soon melody dusty size L 😊,no,no,x
291,kiniku_hijab,"Available Melody SUNKIS XL- CROCO XL, Swing TIRAMISU XL - KHAKI S, jasmine DUSTY PINK- LAUDE, bisa via shopee 😘 yuk cek ig",no,no,x
292,vee_nanda86,Canggih2 nih tangannya 👍 yg pnya melody olive ato khaki ato grey size M dm plis 😙,no,no,x
293,mumuqueenn,"Ready soon melodi sunkiss L, dusty XL",no,no,x
294,dkproject0505,Cek ig ❤❤,no,no,x
