no,word
185,"yang minat kia teal & frozen, harga 80, pengiriman jakarta timur, bisa cek langsung ig ya, thanks\u0001f60a"
186,yah ternyata punyaku masih dlam proses pengiriman
187,punya ku blum nyampe \u0001f629
188,@n.choirina untuk klaim line ke @vanillaind (pakai @) sebutkan no. order nya ya dear.
189,"haii beauties, cek ig kita yaa, jual pixi glow tonic, skii, laneige dan real technique original \u0001f48b\u0001f48b"
190,barakallah ya :)
191,aku blm sampe\u0001f605
192,thank u mbk @dindavanillahijab baru kali ini bs salah ukuran kirimnya \u0001f602
193,"cara cek orderan uda dikirim atau blm gmn sist?saya ud konfirmasi pembayaran& sudah d email sedang dicek konfirmasiny, tp sampe skrg blm di email lg kelanjutanny gmn? @dindavanillahijab"
194,"bisa dilihat di web vanillanya mba, login account kita di web vanilla, terus buka akun saya,nanti ada pesanan saya habis itu klik lihat pesanan,kalau sudah ada tulisan processing berarti sudah diproses mba dan sabar aja nanti akan datang sendiri, kalau peyment review berarti masih dicek pembayarannya dan blm diproses @seli_nursolihah #bantujawab"
195,"ana pants, sala, kia yuk cek ig \u0001f618"
196,"punya sy juga belum di kirim nech :) tp insya allah vanilla amanah barang pesananku sebelum sebelumnya sampai dan sesuai dgn pesanan dan suprise ny d paketan slalu ad gift cantik dari @vanillahijab . gk kebayangin 1 hari packing paketan ribuan pc gimana coba pasti ad yg kelewat itu mah wajar , yg terpenting barang sampai dgn selamat. heheee"
197,ana basic skirt black
198,"@dindavanillahijab hari minggu tutup ya kak, dr kmrn sore komplainnya blm di bls \u0001f60a\u0001f601"
199,ready kia instan warna teal & lipmatte..yg minat bisa dm aku yaa \u0001f61a\u0001f61a
200,"bobow pantsku udah dateng, warna turqoaz keceee badaaaaiiii\u0001f60d\u0001f60d\u0001f60d sukaaaaaak banget. kainnya juga sukaaaak. kia instan apalagi, bahannya favorite, warna sukaaaaaak bingiits. ga nyesel kemaren iseng2 beli, hihihii. vanilla ga pernah ngecewain emang mah\u0001f618\u0001f618\u0001f618"
201,"yg masih cari turquaz bobow sz m , silahkan dm\u0001f609"
202,"yeay berhasil processing, thx mba @humairah1985"
203,yg domisili di jogja ada yg mau foto barengan gaaak? \u2764
204,@wati_hasugian @maya_hasegawa lokasi mana kak? hayuk gabungan kalo di jogja mah \u0001f602
205,@lagilagi_aziim iya dear di bls hari kerja senin - jum'at.
206,@nenenggg.nd @wati_hasugian kita domisili jakarta & bekasi \u0001f602 yuuuk yg mau gabungan.. sekalian saling kenal dengan #sistervanillahijab yg lain \u0001f60a
207,"avail kia instan rouge & olive, yang minat lsg dm yaa. bs via shopee juga kok \u0001f609"
208,"yg ga kebagian kia instan bs cek ig yah dear, free ongkir ke tempat tujuan via shopee\u0001f60a"
209,"@nenenggg.nd domisili jogja yaa,,, aku & @maya_hasegawa domisili jakarta & bekasi yg samaan domisili yukkk gabung #rameramepakevanilla sekalian silaturahmi dengan #sistervanillahijab lainnya \u0001f600"
210,ready kia frozen & fushia...minat silahkan dm\u0001f60atq
211,alhamdulillah kia instan nya udh sampe.. bagus bgt.. lucu di pake nya... @vanillahijab \u0001f60d
212,ana basic skirt black \u0001f618\u0001f495\u0001f495\u0001f495
213,"yuk cek ig @hijabelz.id hijab murah, square motif, pashmina \u0001f60d\u0001f60d\u2764\ufe0f"
214,\u0001f34e\u0001f34e yasmine masih punya kia instan \u0001f64f\u0001f604 aslinya bagus bgt .. mampirr ...
215,selly ikutan yu.. @sely.elfath
216,"kia instan jeans, rose, biyan, olive dan rouge, 80rb aja. yg minat dm ya. bisa via shopee."
217,@wiedy_aersi @shifanirmaya @trii.wahyunii ayok besok foto2
218,"ready soon rose,jeans,rouge,olive,campina,biyan,teal,harga 80,pengiriman jakarta timur,bisa cek ig langsung,thanks\u0001f60a"
219,"masih ada kia teal, biyan dan olive minat dm ya"
220,"kia instan jeans,rose,rouge,biyan,olive,lipmatte. 80rb aja minat dm ya ."
221,aku blm dapet balasan dr vanilla .. padahal sudah konfirmasi... gimana ini sis
222,aku udh line ke vanillasupport juga
223,mau dong nitip
224,tuw @noviamerliana ada sisa stock hit n run cuuuus langsung ke _url_ 
225,maaf mba @hanamutiaraaa mau komplen atau mau order?
226,"kmaren dpt tinggal cacaote,, skrg ada smua warna... \u0001f614\u0001f63f"
227,maaf mbak kira kira sampenya kapan ya? saya ordernya kemaren @vanillahijab
228,@noviekurnayanti mau komplen orderan
229,"@noviekurnayanti bantu jawab ya,, mba @hanamutiaraa itu sdh order dan mau komplain krn blm dpt konfirmasi email \u0001f60a"
230,kok ngga bs check out ya @vanillahijab
231,"yang cari rose , lipmate, jeans , rauge , campina , \u0001f618\u0001f618\u0001f605"
232,@dinda_nda19 aku dm mb
233,"dapet warna rose, lipmatte, teal, jeans, biyan \u0001f635\u0001f635"
234,bian bian bian rose rose rose lipmate lipmate rauge rauge campina campina \u0001f61a\u0001f61a\u0001f618\u0001f618\u0001f618\u0001f618\u0001f618
235,tiap login website... kenapa yg muncul cuma bow bow bag aja? padahal ngecek web pas launching produk.. \u0001f602
236,@hanamutiaraaa untuk lebih jelasnya apakah orderan diproses atau tidak lihat aja status orderan di web yah sis. klik assalamualaikum pilih akun saya kemudian lihat detail orderan. maaf #bantujawab \u0001f60a
237,"@feby_store itu vanilla fashion mba, kalau jilbab dan baju di vanillahijab"
238,mba @irenanovi ohhh gitu... xixixix... mksh ya mba infonya\u0001f604
239,@feby_store salah web kak . web nya _url_ untuk hijab dan baju ataupun celana
240,@feby_store sama2 mba say\u0001f606
241,"untuk lebih jelasnya, bisa lihat status orderan di website. caranya, klik assalamualaikum pilih akun saya kemudian lihat detail orderan. jika statusnya payment review artinya konfirmasi pembayaran sis udah berhasil dan pembayaran sedang dilakukan pengecekan. kalo statusnya processing artinya pembayaran sudah berhasil diterima dan tinggal tunggu barang dateng aja :) bantu jawab, copy paste dr conversation aku sm admin vanilla support \u0001f60a"
242,nice
243,"kia instan jeans, rose, rouge, lipmatte dan olive ready di saya, 80rb aja. minat dm ya."
244,"yuk biyan, rose, rouge, campina dan cacaote ready to booked ya kak"
245,yg msh nyari bobow pant cek ig ku y guys
246,udah di step ulasan order knp selalu stuck sih...layarnya cuma ada alamat doank trus mau checkoutnya gmn inii
247,\u0001f60d\u0001f60d
248,"yg cari kia gading, fushia, frozen silahkan dibook\u0001f609"
249,"yg cari kia rough, sala instant tokyo navy....silahkan chat yaa"
250,yang minat cacaote dm ya
251,oh mba @hanamutiaraaa mau komplain. kalau mau kompalin di line vanilla yg ini mba @vanillaind tapi baru di balas di jam kerja 09.00-17.00
252,gamis murmer kualitas butik
253,@feby_store website vanillahijab.com/ registrasi dulu dan cek @carabelanjavanilla ya dear
254,alhamdulillahh. makasih @vanillahijab \u0001f618
255,"@niecmayer sudah klik ""lanjutkan"" dear? internet harus stabil."
256,"@dindavanillahijab gada tulisan ""lanjutkan"" mba. cuma alamat pengiriman aja"
257,@niecmayer di refresh saja dear.
258,"mba coba jgn pakai wifi @niecmayer pakainya paket data biasa aja. sy jg gt kmrn, tp stlh ganti pakai data alhamdulillah bs. ready smua warna di @rumahijabeeka bs shopee utk free ongkir\u0001f60d\u0001f60a @feby_store @putriisabrinaa @dinda_nda19"
259,"@rumahijabeeka alhamdulillah udah bisa, ternyata emang ga bisa pake wifi harus pake paket data \u0001f605 thanks mba2 @dindavanillahijab"
260,"@niecmayer coba pake paket data mb,, klo pake wifi gk bsa.. dlu awal vanilla web baru aku gk bsa checkout pake wifu.."
261,"iya mba @niecmayer kmrn jg sy gt, alhamdulillah bgitu diubah ke data tyt bisa \u0001f604"
262,@mumuqueenn iya akhirnya bisa setelah diganti pake paket data hehehhe alhamdulillah
263,@rumahijabeeka ngeselin banget yaa hahahah
264,"kia instan rose 2pc, jeans 2pc, rouge 2pc dan olive ready to booked, 80rb. minat dm ya"
265,yg minat vivy instan n swing dress dm yuk.. ;)
266,tuh @novatrijayanti
267,"cari navy, jeans dm yaa"
268,ini brp
269,ini warna apa ya?
270,done \u0001f60d@vanillahijab
271,"finally, done! sayangnya byk wrna cakep2 totally sold out \u0001f625"
272,"oo gitu,, txs yaa @mutiafl,, soalnya skrg rada bingung, ga prnah dpt balesan email lg stelah konfirmasi pembyrn. sblmnya stiap order smpe dpt 3x step email,,skrg2 ini cm sekali"
273,yang mau kia instan bisa cek ig kita ya ^^
274,masih ada? di web tulisannya sold out
275,\u0001f60d\u0001f60d\u0001f60d
276,"ready bobow pants silver s, machiato m, lala bag sakura, bisa free ongkir via shopee"
277,\u0001f60d
278,kok sold out semuaa? katanya masih ada
279,restock lagi pliiis\u0001f630\u0001f630\u0001f630\u0001f630\u0001f630
280,@vanillahijab ka cek line yaa. aku ada kendala pas konfirmasi pembayaran nih. udah transfer semalem
281,"website vanillahijab.com, kak@aisyahnurisya"
282,masih ready say @aisyahnurisya fuschia dn gading siapa tau minat
283,@yarazatira_ masih ready fuschia dn gading siapa tau minat say
284,"@noveliautamii klik aja di konfirmasi pembayaran say di bwah, isi form yg trtera ikuti aja langka2 yg ada di web. maaf bantu jwb"
285,"@la2n_syarief iya sama2, saya jg pernah gt, tp setelah tanya dan dijelasin jd saya cek lgsg ke web, kalo udah selesai dr setiap pengecekan, email jg pst masuk menyusul kadang tau2 barang udah dtg. intinya 1-2 hari mh sabar aja dulu tungguin, kalo udah ove"
286,\u0001f60d\u0001f60d
287,@lailii_r uda beli?
288,"ready soon kia instan biyan,lippmatee dan frozen, bisa cek langsung di ig ya,thanks\u0001f60a"
289,udah kak kmrn @wulanendarwati
290,"@yarazatira_ @andinipsy @anisasuangga @aisyahnurisya @uchierahma @indahnoernoer ready kia instan smua warna limited, follow @rumahijabeeka \u0001f60a"
291,"@vanillahijab aku udh konfirmasi pembayaran hari jumat, tp sampe sekarang belum dapet email lagi seputar konfirmasi pembayaran aku sukses atau ngga, aku line tp blm di respon"
292,"yuk dear...masih ready kia lipmatte, gading, jeans, olive, campina rouge....booked via shopee ya \u0001f609"
293,apakah ada yg masih punya kia rouge ?
294,"yang minat biyan , rouge, cacaote, rose , campina bisa cek ig yaa .."
295,ready kia olive n lipmatte free ongkir via shoope
296,"ini kapan pengiriman nya yaaa, yampun nungguin \u0001f602\u0001f602 dag dig dug senin keluar kota \u0001f605\u0001f605\u0001f605\u0001f605"
297,yang jual rose ada? dan harga brp. thanks
298,dear all yg belum kebagian kia silakan liat web baru saya liat semua warna tersedia ;)
299,"available kia instan warna jeans, teal, olive, lipmatte, rouge. yg minat bisa dm aku..\u0001f60d\u0001f60d"
300,yang cari kayla tunik black l masih ada di aku yaaa
301,masih ready warna campina minat dm ya
302,"ready ana skirt warna teal,freeongkir via shopee hanya 128k"
303,"ready di kami yg plain dan yg udah dimodifikasi pakai lace , diamond fancy dan 3d flower aplikasi .. cek ya di @queenaccessories2"
304,ada yg punya bowbow pants navy size l/xl ? kalau ada dm yy ?
305,"yg minat kia instant lipmatte, teal, fuschia dm y..pengiriman dr jakarta"
306,yg minat bowbow pants navy size s dm y
307,"@karinaindahpertiwi saya ada navy m mbak, lp 100cm, panjang 95cm, lingkar paha 58cm barangkali cukup \u0001f60a"
308,"ready soon teal,biyan,olive,lippmate, harga 80, pengiriman jakarta timur, bisa cek langsung ig ya,thanks\u0001f60a"
309,sudah sampai kia nya makasih \xae^
310,@vanillahijab aq liat lewat www. kok uda sold out smua ya sis...aq mau
311,yg punya bobowpants lips size l n syana tunik bsa dm
312,"sis, knp tiap kali coba pesen gak dpat email konfirmasi dr @vanillahijab? mohon bantu jawab"
313,mb @vanillahijab klo trnyt barang yg nympe size nya ga sesuai gmn ya ? saya pesen l yang dateng m. ada yg bs bantu jawab ga
314,@ririeka86 aq ada lipmatte yaa cek ig
315,"hay..kia instan olive & fuschia msih ada yaa di ak, ready stock lho..kirim dari tangsel \u0001f60a\u0001f48b"
316,"yg ketinggalan bobow pantsnya, bisa mampir di kami, ada bobow pants loewy size l n kia instan rose. freeong via shopee \u0001f483\u0001f483\u0001f483\u0001f483\u0001f483"
317,"dri kemarin nunggu email dr @vanillahijab tau"" barang da dateng aj ,tp kod tumben ga dpt free bros \u0001f60a"
318,mau dong kardigannya
319,@octys_gallery bisa hub vanilla.ind sis via line
320,@ririeka86 masih ada kia instan olive dn campina say siapa tau minat bisa dm ya
321,gak dapet lagi -__-
322,makasih mb @mamah.raisar \u0001f618
323,kia instan segi4 beauty cek ig kita dear
324,@mamah.raisar brp hrgnya
325,yg cari kia frozen atau fushia silahkan dm\u0001f609 #testimonichiic
326,@octys_gallery sama2 mbk
327,order kamis. brg sdh dtng daan wooowwww kereenn aslinya .di pke nya bgs bngtsss
328,ada yg blm dapet email setelah sukses pembayaran? \u0001f622
329,"@kaliakyrli cek status order bisa login dulu ke website dear, klik lagi assalamualaikum dan klik akun saya."
330,"ready kia gading, rouge, campina, frozen ama sala instant yuk cek ig \u0001f618"
331,"saya gak dapet email mba, tp ini barang nya udah dateng, cek status nya d website mba @kaliakyrli"
332,"kia instan biyan, warnanya ga kaya di foto \u0001f622\u0001f622"
333,@iik_azka wrnanya gimana sis yg biyan??
334,lebih gelap aja...
335,cek @vee_rosya u kia instannya
336,"langsung kirim atau gak ya @vanillahijab untuk order malam jumat kemarin.. tumben bgt nih, orderanku belum sampai.. biasanya sehari sampai"
337,charles n keith original\u0001f64b
338,"sebenarnya kia ini bagus,,, tp kenapa tiap item nya jahitannya pada beda beda\u0001f602\u0001f602\u0001f602\u0001f602 ada yang pas di muka ada yang gak xixixix"
339,"kia instan campina,yg minat silahkan dm bisa lwt shopee.makasih \u0001f64f\u0001f618"
340,"kak, kok di web udah sold out semua? @vanillahijab"
341,"@octys_gallery jual aja, mbak. tapi kalau ga minat, balikin aja ke vanilla. ntar return payment kok"
342,"yeee, cek web ny skrng ah sp tau wrn kesukaan ku msh...hehe"
343,udah ada balasan dr vanilla kok mb @jakarta_hijab_boutique .. mau diganti size yg sesuai. iya kali ya dijual aja... ada yg mau ga ya loewy size m ?? \u0001f609
344,"yg minat kia instan rose, jeans, campina, lipmatte, yuk cek ig, bisa via shopee"
345,mb aku sdh melakukan pembayaran untuk pembelian di vanillahijab dgn no order400034349 a/n rani yulianti senilai 150.864 tapi blm ada blsan konfirmasi kembali mengenai penerimaan dana dan pemberitahuan pengiriman barang saya transfer sejak jumat pagi pkl 8.mohon keterangannya
346,"msh ada kia lipmatte, gading, olive, campina, jeans, rouge...free ongkir via shopee \u0001f609"
347,"waah ternyata bobow bagus banget aslinya, keep 1 ah buat sendiri\u0001f609"
348,huaa cakep banget ternyatq kia instan bahannya jatuh adem modelnya jg cakep bgt bobow pants jg cakep apalagi yg warna darkgrey
349,@orange_bright barangku blm dateng sis huhu
350,yg ada kia wrna rose sm campina ya...
351,alhamdullilah kia instant'ya sdh smp.. mksh gift'ya tth cantik @vanillahijab
352,kia instant nya kapan restock lagi \u0001f635
353,@caramelfashionhijab mau donk tapi jgn lewat shoppe bolehngak free ong?
354,keabisan lagi \u0001f62d
355,@djuni_heaevenly free ongkir hanya lewat shopee kak...\u0001f60a
356,link shopee nya mana?
357,dm ya
358,msh ada kia instan lipmate dan fuschia. lgsg dm ya. freeongkir via shopee
359,"yg msh cari vivy instan atlantis, sala instan dreamy, adelia blouse white bs dm yaa"
360,avail kia instan olive & rouge. yang masih minat dm yaaa....\u0001f609
361,msh ada kia instan cacaote...bisa via shopee\u0001f609\u0001f609
362,keabisan \u0001f62d
363,avail kia rose n lipmatte
364,siapa yg punya warna teal ya \u0001f625\u0001f625
365,"masih ada kia instan : campina, jeans dan fuschia. bisa kirim via shopee"
366,sis @aiu_devitasari ada kia instan campina di saya..
