id,content,main post,label
dindavanillahijab,"@wulan_febryana_putri iya dear, untuk memudahkan pengecekannya juga.",no,baca
mumuqueenn,"Kia rose, gading,campina, biyan, rouge yuk cek ig 😚",no,abaikan
r_herdiyani,"Kia Instan Jeans, Teal, Lipmate, Frozen, Rose only 78rb 😘",no,abaikan
eightninehijab,"Kia instan lipmatte, rose, cacaote, campina, jeans, n biyan msh ada di kita, yuk cek ig.. Pengiriman dr tangerang..",no,abaikan
elshary91,Ada hit Run dong... @vanillahijab,no,baca
elshary91,@eightninehijab brpa mbk,no,abaikan
marvelmomsbabyshop,"sisa rouge dan lipmatte kirim dari sby, DM yg minat",no,abaikan
ikha_sadebags,Sis @dindavanillahijab aq lp trf gr2 masak.. Hiks. Skrg trf msih bs engga ya? Mhn bantuanya,no,jawab
lumeeflyforhijab,BOBOW pantsnyaa & KIA instan READY yaah for booked 😇😇,no,abaikan
anditashop_id,Kia instan rouge n olive. Bowbow pants navy S n machiato S. Minat bsa DM ya freeong via shopee,no,abaikan
r_herdiyani,Last stock KIA Lipmate only 73rb 😘,no,abaikan
ayashi.id,"Yg masih nyari KIA teal, rouge, lipmatte yuks DM sist",no,abaikan
asyfahshop,"Yang minat kia instan olive &rouge, pengiriman jakarta timur,harga 80,bisa cek langsung IG, thanks😊",no,abaikan
lisna_wij,Ada warna apa saja?,no,jawab
ms_ayurahayu,Hit n run ada gak ya,no,abaikan
anisarasya,Kapan #vanillapremiumscarf nya ready sistaa?? Mauu bangett... @sistervanillahijab @vanillahijab,no,jawab
ekadebe,Sdh transfer n konfirm dr pagi td k website tp blm dpt email dr @vanillahijab,no,jawab
n.choirina,Avail kia instan teal campina lipmatte,no,abaikan
fida_prstn,Yg msh punya rose dm ya. Pengen bnget 😢,no,abaikan
caramelfashionhijab,"Kia LIPMATTE, CAMPINA, GADING, OLIVE, FROZEN, CACAOTE, FUSCHIA, BIYAN...free ongkir via Shopee",no,abaikan
mi.nang_store,Avail fushia dan lipmate cek ig kita sis,no,abaikan
irenanovi,"Kia fushia, frozen, gading...yg cari dm ya😊 thx",no,abaikan
titik.sumaryati,Haiiiii aku mau jual kia instan campina. Salah beliiii.. yg minat dm aja ya ;),no,abaikan
citraoktavinni.rs94,Ka restok kia instan warna kalem dongg. Kya Hitam. Navy. Maroon kaa. @vanillahijab .,no,baca
mamah.raisar,Masih ready gading dn fuschia minat dm ya,no,abaikan
taspaket_jkt,"Masih ready Rouge, CAMPINA , Biyan , CACAOTE , ROSE ...Cek Ig langsung yaa",no,abaikan
queens.butik,"Yg kehabisan warna jeans , rose ,lipmatte ready di kami ya , kia instant di modifikasi pakai lace,diamond fancy dan 3D flower aplikasi makin keren n elegan lho sista cek di @queenaccessories2",no,abaikan
hijabcantikos,ready warna lipmatte n olive yaaa cek ig,no,abaikan
anem0neshop,Avail kia Rose n Lipmatee,no,abaikan
lafara.hijab,Msh ready kia instan dan bobow pants M lips freeongkir,no,abaikan
vanillahijab,"Bahan LINEN Look ini adem banget dipakai, lembut juga, nggak ketat dikakiNanti mengikat BOBOW Pantsnya jangan terlalu kencang yaaAkan ada ootd #sayadanbobowpants lho Sisters!Makanya jangan lupa set alarm buat nanti malam jam 7Di www.vanillahijab.com yaaaHarga 125ribu/pcsCek hastag #vanillaitugampang ada video cara order disitu",yes,x
hlnraydev,di web nya blm ada yaa sis? @vanillahijab,no,jawab
hijabcantikos,harga kia instan sis ? @dindavanillahijab,no,jawab
mrsaribowo,@vanillahijab yg uk L utk lingkar pinggul 115 cukup gak mba?,no,jawab
novi_rachmawati,Harga hijab nya donk,no,jawab
bq.dita,😍😍😍,no,abaikan
dindavanillahijab,@hlnraydev ditungu ya dear.,no,abaikan
sisisyamsiah,warna lengkapnya belum ada di web ya?,no,jawab
dindavanillahijab,@novi_rachmawati @hijabcantikos harga bisa diinfokan saat open order dear.,no,abaikan
dindavanillahijab,"@sisisyamsiah iya dear,  ditungg ya.",no,abaikan
oppiea,"Detil ukurannya yg L/XL donk mba, sy gak pake Line soalnya kl mau tny ke vanilla info",no,jawab
phutri_puspitasari,Jadi laper mata mah liat warna ny yg kalem 😍 @vanillahijab,no,baca
citraoktavinni.rs94,@sisisyamsiah sdh ada katalog warna ya mba di web,no,abaikan
havana_hijab,"Yuk yg mau titip order masih bisaa yaaa.. Langsung DM atau Line, bisa subsidi ongkir via shopee 😘😘",no,abaikan
sitirahma1224,Info donk yg msh punya mille blouse size s,no,abaikan
ri6602,Size apa neh sis. ??,no,jawab
ri6602,Size apa neh sis. .???,no,jawab
melianticasapta,Ada size xl sis,no,jawab
alindaaltaf,Kakak Minta info detail s/M Dan M/L keterangan  brp cm kak Lingkar pinggul Lingkar paha @vanillaforclothing @vanillahijab,no,jawab
karlinakd,Halo kak @butik_kadesqons menjual produk gamis dan jilbab dengan kualitas sangat baik insha Allah. Bisa cek ig yah😊,no,abaikan
ilayaomi,@vanillahijab kalo untuk bumil sizenya apa ya?,no,jawab
ildarizkyani,Hiks vanilla bikin mupeng terus 😭,no,baca
jakarta_hijab_boutique,"@sitirahma1224 adanya M, mbak",no,abaikan
jakarta_hijab_boutique,@ilayaomi terakhir saya hamil sampai trimester akhir masih muat S/M. Tergantung tinggi & BB,no,abaikan
ciciksarah,Gak ada detail utk size nya?,no,jawab
irenanovi,"Yg takut lupa dan minat titip beli silahkan dm 😉 tq, #testimonichiic",no,abaikan
fitria_elfira,"Keranjang belanja tiba2 0,,, pdhl klik pesan sekarang gmn tu??? Dan udh g bs order pdhl msh ada stock??? Kok bs gt????",no,jawab
endahkhoiriyatusy,kok g berhasil2 order @vanillahijab,no,jawab
vina.ve46,Done.. Alhmdulillah dapet yg ini.. 😊,no,baca
fitria_elfira,"Maaf anda udah mencapai maksimal order hari ini, anda baru bisa order kembali besok,,,, lah keranjang belanja sy aja tiba2 0 gmn ni??? G jd lagi q blnj produk @vanillahijab nya",no,jawab
putriinitaa,"@vanillahijab sis Kok ud klik masuk keranjang belanja yg di beli celana ter save berang  1 -> pas klik lihat barang lainnya mau beli hijab-> lanjut -> kok jdnya di keranjang belanja celana lgsg di blg ""habis sold out sih sis khan ud di keranjang pesanan k",no,baca
almawa_shop,"Yg mau bobow pants dark grey L, bs dm yaa...bs pakai shopee",no,abaikan
uneh_gufre,Siisst kok size nya S semua ya? @vanillahijab,no,jawab
ririzamalia,size yang lainnya sudh sold mba @uneh_gufre tinggal size S,no,abaikan
ririzamalia,"avail bobow pants darkgrey, machiato, loewy & silver. yang minat bisa dm. free ongkir via shopee",no,abaikan
nuruldiani.nd94,Done...untuk info pengiriman y gmna ya? @vanillahijab,no,jawab
uneh_gufre,Ada restok size lg kira2 kpn ya sist utk bobow pants nya @vanillahijab,no,jawab
hijab_cantik2052,"Avail bobow patns dark grey, machiato, loewy dan silver size M.. bagu yg berminat bisa langsung DM ke ig kami mba say.. free ongkir via shopee 😘😘😘",no,abaikan
citradewiiiii,Ada yg avail bobow silver size s ga??,no,abaikan
fitriadesyp,Klo mau jual bobow loewy L.. Dm ak yaa..,no,abaikan
nifarian,Brp sis,no,abaikan
lilingintan,Udah sold out semua di web 😭,no,baca
rahmawatus.ayu,Yg ukuran S tinggal warna apa ajja? ukuran S nya seberapa yaa mbk? @ririzamalia @vanillahijab,no,jawab
n_iyga,Kaloo ad yg mo lepas bobowpants silver or darkgrey sise S DM yaa sist.... Trimss....,no,abaikan
mamah.raisar,"Masih ready bowbow pants silver dan navy size s, minat DM ya",no,abaikan
khalisha_sisters,@n_iyga cek dm y mbak 😊,no,abaikan
n.choirina,Avail loewy L navy m darkgrey m,no,abaikan
mamah.raisar,"Masih ready bowbow pants navy s, minat DM ya say",no,abaikan
irenanovi,"Yg masih cari bobow pants silver M,Turqoaz L. bs dm ya😉 tq",no,abaikan
lucerahma2,Mau jualan kok akunnya di locked @irenanovi @n.choirina cari yg size L,no,abaikan
n.choirina,@lucerahma2 via dm yh mbk,no,abaikan
keke_hijabrand,Uk xl siapa yg punya tp lingkar paha brp ya uk xl... Pinginnn,no,abaikan
ninadyastore,Ada yg mau bowbow size s ga ? D aq ada nih,no,abaikan
ildarizkyani,Ada yg mau barter bowbow pants grey M ? Punya ku size L kebesaran,no,abaikan
srie_celli,Aq punya yg size S  turqouz beli kekecilan ternyata ad yg mau barter kah? Hrga sm dg vanilla @ildarizkyani @rahmawatus.ayu,no,abaikan
vanillahijab,"Vanilla Sisters udah pada nyampe belum KIA Instannya? Bosen nggak sih kalo foto sendirian terus?Nah mendingan rame rame yuk pake Vanilla!Ada hadiah tunai @1juta rupiah untuk 2 grupCaranya-Upload foto kamu dan teman teman kamu dg KIA Instan-1 grup minimal 4 orang-Di caption kamu harus sebutkan grup kamu yaa dan mention masing2 orang yg ada di fotoMisal: ""Grup Mandiri Depok""Tag @vanillahijab @sistervanillahijabBeri hastag #kitadankiainstan #rameramepakevanilla #serubarengvanilla #vanillano1hijabbrandSeru banget kan! Yang lebih seru...Semua yang ikutan bakal dapet voucher belanja di Vanilla senilai 100ribu rupiah!",yes,x
arin_riring,Blm sampai sis kia instannya @vanillahijab uda g sbar bgt,no,baca
caramelfashionhijab,Semarang belum nyampe sampai skrg...😰😰😰,no,baca
dwigaluh99,Madiun jga blum sampai,no,baca
lu2ti2,Sdh sampeee... cantiiik bgt,no,baca
devimellysa,Blm smpai jg😭 padahal di jakarta @vanillahijab,no,baca
bigbangchoiseunghyun,Udah sampeee. Cantik bangeeett,no,baca
annamardalina,Surabaya blm sampe jg,no,baca
kaliakyrli,"Surabaya blm sampai :""",no,baca
farrelkhairan,Udah sampe kia instannya kerenn 😘😘,no,baca
eyaikhlas,"Belum kaa, gak sabar deh pengen pake 😂",no,baca
lyaalmira,Belum sistah,no,baca
ysmaiputri,Aku belum dapat no resi nya hiks,no,baca
devidestriandari,Sicepat minggu libur yaa?,no,jawab
mi.nang_store,Lipmate n fusia msh ada yuk cek ig,no,abaikan
tiaraintantp,"Udah sampe kemarin, nyesel cm beli 2 doang. Enak dipakenya. Cantik gak bikin keliatan tembem ❤",no,baca
phaquita_soe,Siapa yang masih punya stock Biyan Sist ? Dm dong,no,abaikan
intanmeega,"KIA nya blm dtg kak sd skr, tolong Cek DM kak @vanillahijab . Trmkasih 😊",no,baca
nanamadisa,ðŸ’“,no,abaikan
woro_soetomo,Suka banget💞,no,baca
misylmi,Yah cuma beli satu buat sendiri😂,no,baca
nanamadisa,Semoga berkah ya :),no,baca
sititsabit,"Kia instan udh nyampe, suka,,,, so simple tapi stylish...",no,baca
a.morestore,"ANA BASIC SKIRT BLACK , yang minat DM yaa",no,abaikan
nanayuwicha,harus 4 ya sis?hadeeehhh bngung cari temennya 😌😌,no,jawab
inazizah13,😊😊😍😍😍,no,baca
xolovesls,blm nyampe punyaa aku status d web mash processing @vanillahijab  si cepat minggu nganter gk yaa,no,baca
wulan_febryana_putri,Aku pesan sala instant kok blm sampe jg yah?,no,jawab
thamita12,Kemarin katanya mau didm voucher  yg komen cara mudah belanja di website vanilla tp blm ada dmnya sis hikss,no,baca
lolaputriyani,"udah nyampe kak, nyaman banget, cuma sendiri doang mesennya, jdi ngak bisa ikutan deh 🙁 @vanillahijab",no,baca
irenanovi,Sisa kia frozen & fushia..minat dm ya😉. #testimonichiic,no,abaikan
arianimurty17,Belom sampe kianyaa @vanillahijab 😌,no,baca
arianimurty17,"@kaliakyrli podoo kak,,",no,abaikan
arianimurty17,@annamardalina samaaa 😂,no,abaikan
maya_hasegawa,Harus 4 org ya min? 😂 ajak siapa lagi yaa.. Kita cuma berdua @wati_hasugian 😂,no,jawab
lakulaku.os,"yang minat kia instan jeans, campina, lipmatte, rose, biyan, yuk cek ig, bisa via shopee",no,abaikan
wati_hasugian,Iyaa nih qta cuma berdua nih @maya_hasegawa  ayook ajak sapa yg mau bareng DM pliss 😂,no,abaikan
priyanti_dp,Yaah dikantor cm 2 orang yg pake hijab,no,abaikan
dheaayusyafitri,Tangerang blm sampe.. Biasanya senin,no,baca
ndy_shindy89,"Aq udah sampe kemaren siang, cepeeeett banget nyampenya..",no,baca
asyfahshop,"Yang minat kia teal & frozen, harga 80, pengiriman jakarta timur, bisa cek langsung IG ya, thanks😊",no,abaikan
dwigaluh99,Yah ternyata punyaku masih dlam proses pengiriman,no,baca
anniebunnie28,Punya ku blum nyampe 😩,no,baca
dindavanillahijab,@n.choirina untuk klaim LINE ke @vanillaind (pakai @) sebutkan no. Order nya ya dear.,no,baca
foryourskin.co,"Haii beauties, cek IG kita yaa, jual PIXI glow tonic, SKII, Laneige dan Real Technique Original 💋💋",no,abaikan
nanamadisa,Barakallah ya :),no,baca
mimi_abu,Aku blm sampe😅,no,baca
n.choirina,Thank u mbk @dindavanillahijab  baru kali ini bs salah ukuran kirimnya 😂,no,baca
seli_nursolihah,"Cara cek orderan uda dikirim atau blm gmn sist?saya ud konfirmasi pembayaran& sudah d email sedang dicek konfirmasiny, tp sampe skrg blm di email lg kelanjutanny gmn? @dindavanillahijab",no,jawab
humairah1985,"Bisa dilihat di web vanillanya mba, login account kita di web vanilla, terus buka akun saya,nanti ada pesanan saya habis itu klik lihat pesanan,kalau sudah ada tulisan processing berarti sudah diproses mba dan sabar aja nanti akan datang sendiri, kalau peyment review berarti masih dicek pembayarannya dan blm diproses @seli_nursolihah #bantujawab",no,baca
mumuqueenn,"Ana pants, sala, kia yuk cek ig 😘",no,abaikan
nanda_najwa7,"Punya sy juga belum di kirim nech :) tp insya allah vanilla amanah barang pesananku sebelum sebelumnya sampai dan sesuai dgn pesanan dan suprise ny d paketan slalu ad gift cantik dari @vanillahijab . gk kebayangin 1 hari packing paketan ribuan pc gimana coba pasti ad yg kelewat itu mah wajar , yg terpenting barang sampai dgn selamat. Heheee",no,baca
a.morestore,Ana basic skirt black,no,abaikan
lagilagi_aziim,"@dindavanillahijab hari minggu tutup ya kak, dr kmrn sore komplainnya blm di bls 😊😁",no,jawab
kimyunnashop,Ready kia instan warna TEAL & LIPMATTE..yg minat bisa DM aku yaa 😚😚,no,abaikan
dheerizz,"Bobow pantsku udah dateng, warna turqoaz keceee badaaaaiiii😍😍😍 sukaaaaaak banget. Kainnya juga sukaaaak. Kia instan apalagi, bahannya favorite, warna sukaaaaaak bingiits. Ga nyesel kemaren iseng2 beli, hihihii. Vanilla ga pernah ngecewain emang mah😘😘😘",no,baca
irenanovi,"Yg masih cari Turquaz bobow sz M , silahkan dm😉",no,abaikan
seli_nursolihah,"Yeay berhasil processing, thx mba @humairah1985",no,abaikan
nenenggg.nd,Yg domisili di Jogja ada yg mau foto barengan gaaak? ❤,no,abaikan
nenenggg.nd,@wati_hasugian @maya_hasegawa lokasi mana kak? Hayuk gabungan kalo di Jogja mah 😂,no,abaikan
dindavanillahijab,@lagilagi_aziim iya dear di bls hari kerja senin - jum'at.,no,baca
maya_hasegawa,@nenenggg.nd @wati_hasugian kita domisili Jakarta & Bekasi 😂 yuuuk yg mau gabungan.. Sekalian saling kenal dengan #sistervanillahijab yg lain 😊,no,abaikan
indyshoplabel,"Avail kia instan Rouge & Olive, yang minat lsg dm yaa. Bs via shopee juga kok 😉",no,abaikan
ekasputri_goodstuffbylove,"Yg ga kebagian kia instan bs cek ig yah dear, free ongkir ke tempat tujuan via shopee😊",no,abaikan
wati_hasugian,"@nenenggg.nd domisili jogja yaa,,, aku & @maya_hasegawa domisili jakarta & bekasi yg samaan domisili yukkk gabung #rameramepakevanilla sekalian silaturahmi dengan #sistervanillahijab lainnya 😀",no,abaikan
irenanovi,Ready kia frozen & fushia...minat silahkan dm😊tq,no,abaikan
haryadiindra,Alhamdulillah kia instan nya udh sampe.. Bagus bgt.. Lucu di pake nya... @vanillahijab 😍,no,baca
a.morestore,Ana basic skirt black 😘💕💕💕,no,abaikan
zapzap.co,"Yuk cek ig @hijabelz.id hijab murah, square motif, pashmina 😍😍❤️",no,abaikan
rumahyasmine,🍎🍎 Yasmine masih punya Kia instan 🙏😄 Aslinya bagus bgt .. Mampirr ...,no,abaikan
haryadiindra,Selly ikutan yu.. @sely.elfath,no,abaikan
radendndshop,"KIA Instan Jeans, Rose,  Biyan,  Olive dan Rouge,  80rb aja. Yg minat DM ya. Bisa via Shopee.",no,abaikan
annamardalina,@wiedy_aersi @shifanirmaya  @trii.wahyunii ayok besok foto2,no,abaikan
asyfahshop,"Ready soon rose,jeans,rouge,olive,campina,biyan,teal,harga 80,pengiriman jakarta timur,bisa cek IG langsung,thanks😊",no,abaikan
mamah.raisar,"Masih ada kia teal, Biyan dan olive minat DM ya",no,abaikan
radendndshop,"KIA Instan Jeans,Rose,Rouge,Biyan,Olive,Lipmatte. 80rb aja minat DM ya .",no,abaikan
vanillahijab,Yang belum kebagian KIA Instan cek website yaaaAda KIA Instan semu warnaBatas transfer sampai besok pagi jam 8Langsung ke vanillahijab.com yaaa,yes,x
hanamutiaraaa,Aku blm dapet balasan dr vanilla .. padahal sudah konfirmasi... gimana ini sis,no,jawab
hanamutiaraaa,Aku udh line ke vanillasupport juga,no,baca
dinda_nda19,Mau dong nitip,no,abaikan
noviekurnayanti,Tuw @noviamerliana ada sisa stock hit n run cuuuus langsung ke www.vanillahijab.com,no,abaikan
noviekurnayanti,Maaf mba @hanamutiaraaa mau komplen atau mau order?,no,abaikan
ayu_set,"Kmaren dpt tinggal cacaote,, skrg ada smua warna... 😔😿",no,baca
meimelani_,Maaf mbak kira kira sampenya kapan ya? saya ordernya kemaren @vanillahijab,no,jawab
hanamutiaraaa,@noviekurnayanti mau komplen orderan,no,abaikan
arianimurty17,"@noviekurnayanti bantu jawab ya,, mba @hanamutiaraa itu sdh order dan mau komplain krn blm dpt konfirmasi email 😊",no,abaikan
putriisabrinaa,Kok ngga bs check out ya @vanillahijab,no,jawab
a.morestore,"Yang cari rose , lipmate, jeans , rauge , Campina , 😘😘😅",no,abaikan
mumuqueenn,@dinda_nda19 aku dm mb,no,abaikan
mumuqueenn,"Dapet warna rose, lipmatte, teal, jeans, biyan 😵😵",no,abaikan
a.morestore,BIAN BIAN BIAN ROSE ROSE ROSE lipmate lipmate rauge rauge Campina CAMPINA 😚😚😘😘😘😘😘,no,abaikan
feby_store,Tiap login website... kenapa yg muncul cuma bow bow bag aja? Padahal ngecek web pas launching produk.. 😂,no,jawab
ucciiannatha,@hanamutiaraaa untuk lebih jelasnya apakah orderan diproses atau tidak lihat aja status orderan di web yah sis. Klik assalamualaikum pilih akun saya kemudian lihat detail orderan. Maaf #bantujawab 😊,no,baca
irenanovi,"@feby_store itu vanilla fashion mba, kalau jilbab dan baju di vanillahijab",no,abaikan
feby_store,Mba @irenanovi ohhh gitu... xixixix... mksh ya mba infonya😄,no,abaikan
a.morestore,@feby_store salah web kak . Web nya www.vanillahijab.com untuk hijab dan baju ataupun celana,no,abaikan
irenanovi,@feby_store sama2 mba say😆,no,abaikan
mutiafl,"Untuk lebih jelasnya, bisa lihat status orderan di website. Caranya, klik assalamualaikum pilih akun saya kemudian lihat detail orderan. Jika statusnya payment review artinya konfirmasi pembayaran sis udah berhasil dan pembayaran sedang dilakukan pengecekan. Kalo statusnya processing artinya pembayaran sudah berhasil diterima dan tinggal tunggu barang dateng aja :) Bantu jawab, copy paste dr conversation aku sm admin Vanilla Support 😊",no,baca
asenstore1507,Nice,no,abaikan
radendndshop,"KIA Instan Jeans, Rose, Rouge,  Lipmatte dan Olive ready di saya,  80rb aja.  Minat DM ya.",no,abaikan
pinohijab,"Yuk biyan, rose, rouge, campina dan cacaote ready to booked ya kak",no,abaikan
irmashop2,Yg msh nyari bobow pant cek ig ku y guys,no,abaikan
niecmayer,Udah di step ulasan order knp selalu stuck sih...layarnya cuma ada alamat doank trus mau checkoutnya gmn inii,no,jawab
retaratih,😍😍,no,abaikan
irenanovi,"Yg cari kia gading, fushia, frozen silahkan dibook😉",no,abaikan
almawa_shop,"Yg cari kia rough, sala instant tokyo navy....silahkan chat yaa",no,abaikan
refranisa,Yang minat cacaote dm ya,no,abaikan
noviekurnayanti,Oh mba @hanamutiaraaa mau komplain. Kalau mau kompalin di line vanilla yg ini mba @vanillaind tapi baru di balas di jam kerja 09.00-17.00,no,abaikan
gashopp_id,Gamis murmer kualitas butik,no,baca
dindavanillahijab,@feby_store website vanillahijab.com/ registrasi dulu dan cek @carabelanjavanilla ya dear,no,baca
istyzaenab,Alhamdulillahh. Makasih @vanillahijab 😘,no,baca
dindavanillahijab,"@niecmayer sudah klik ""Lanjutkan"" dear?  Internet harus stabil.",no,abaikan
niecmayer,"@dindavanillahijab gada tulisan ""lanjutkan"" mba. Cuma alamat pengiriman aja",no,baca
dindavanillahijab,@niecmayer di refresh saja dear.,no,abaikan
rumahijabeeka,"Mba coba jgn pakai wifi @niecmayer  pakainya paket data biasa aja. Sy jg gt kmrn, tp stlh ganti pakai data alhamdulillah bs. Ready smua warna di @rumahijabeeka bs shopee utk free ongkir😍😊 @feby_store @putriisabrinaa @dinda_nda19",no,baca
niecmayer,"@rumahijabeeka alhamdulillah udah bisa, ternyata emang ga bisa pake wifi harus pake paket data 😅 thanks mba2 @dindavanillahijab",no,baca
mumuqueenn,"@niecmayer coba pake paket data mb,, klo pake wifi gk bsa.. Dlu awal vanilla web baru aku gk bsa checkout pake wifu..",no,baca
rumahijabeeka,"Iya mba @niecmayer kmrn jg sy gt, alhamdulillah bgitu diubah ke data tyt bisa 😄",no,baca
niecmayer,@mumuqueenn iya akhirnya bisa setelah diganti pake paket data hehehhe alhamdulillah,no,baca
niecmayer,@rumahijabeeka ngeselin banget yaa hahahah,no,baca
radendndshop,"KIA Instan Rose 2pc, Jeans 2pc, Rouge 2pc dan Olive ready to booked, 80rb. Minat DM ya",no,abaikan
kael_hijabstore,Yg minat vivy instan n swing dress dm yuk.. ;),no,abaikan
uche0806,Tuh @novatrijayanti,no,abaikan
emmadenya,"Cari navy, jeans dm yaa",no,abaikan
indahnoernoer,Ini brp,no,jawab
uchierahma,Ini warna apa ya?,no,jawab
dwinta_juliana_rizkiyan,Done 😍@vanillahijab,no,baca
