no,id,content,main post,poster post,label
19,adorableprojects,"Hi @annisashabrina09 Kamu bs hubungi Angga, Customer Service Area Tangerang Selatan • SMS/WA : 089621218267 • BB Pin : D4071F2E • LINE : adorableprojects010",no,yes,x
20,adorableprojects,"Hi @nitajuniartii Kamu bs hubungi Anggi, Customer Service Area Tangerang • SMS/WA : 089672105734 • BB Pin : 5FE40AAE • LINE : adorableprojects025",no,yes,x
21,fitsyahdill,Sizenchart 39 kira kira brp cm ya? @adorableprojects,no,no,x
22,adorableprojects,"Hi @fitsyahdill agar lebih nyaman bisa konsultasikan sama cs areanya, sudah ada kontaknya blm kak?",no,yes,x
23,septiana.ria.aliani,Yang 40 brpa cm?,no,no,x
24,adorableprojects,"@septiana.ria.aliani agar lebih nyaman bisa konsultasikan sama cs areanya kak, sudah ada kontak nya blm?",no,yes,x
25,septiana.ria.aliani,Blm ada ... Boleh no cs nya kak?,no,no,x
26,adorableprojects,Hi @septiana.ria.aliani domisilinya di kota mana?,no,yes,x
27,saputriyn,cs kota solo dong kak,no,no,x
28,adorableprojects,"@saputriyn Kamu bs hubungi Ricko, Customer Service area Jawa Tengah (Purwodadi, Purwokerto, Batang, Blora, Boyolali, Brebes, Cilacap, Demak, Jepara, Karanganyar, Kebumen, Kendal, Klaten, Kudus, Pati, Pemalang, Purbalingga, Purworejo, Rembang, Sragen, Sukoharjo, Banjarnegara, Temanggung, Wonogiri, Wonosobo, Magelang, Pekalongan, Salatiga, Surakarta dan Tegal)(• SMS/Whatsapp : 081222553972 • BB Pin : D5F3CB19 • LINE : adorableprojects012",no,yes,x
29,marisasftr,Minta cs wilayah depok yaaa,no,no,x
30,adorableprojects,@marisasftr teptanya di kecamatan apa kak?,no,yes,x
31,melinda_pujilestari,Area bekasi Csnyakontaknya siapa kak,no,no,x
32,marisasftr,@adorableprojects di cimanggis,no,no,x
33,adorableprojects,"@marisasftr Kamu bs hubungi Iday, Customer Service Area Depok 1 (Kec. Bojongsari, Kec. Cinere, Kec. Limo, Kec. Beji, Kec. Cimanggis) • SMS/WA: 083820464846 • BB Pin : D56942CC • LINE : adorableprojects006",no,yes,x
34,adorableprojects,"@melinda_pujilestari Kamu bs hubungi Okta, Customer Service area Kota Bekasi dan Kabupaten Bekasi (Exclude Cikarang & Cibitung) • SMS/Whatsapp : 083829114398 • BB Pin : D5B1AA61 • LINE : adorableprojects013",no,yes,x
35,adorableprojects,"Bags are always the perfect accessories to add your outfit! 😝ㅤㅤㅤㅤㅤㅤ'Dalia Tote Bag' IDR 95.000Material : PU LeatherSize : 39,5 cm x 35 cm x 6,5 cmHandle : 54 cmㅤㅤㅤㅤㅤㅤUntuk detail lebih lengkap kamu bisa hub cs area kamu ya sist 😊🙏",yes,yes,x
36,ierayunita,Dek ada yg pink jal @chrsnina,no,no,x
37,irmawati1373,Klo mau pesan ntuk wilayah jakarta timur ke mana yah,no,no,x
38,syifakamilatul76,Mauuu,no,no,x
39,shafiranns,minta cs malang min,no,no,x
40,diandaraaandari,CS kota bekasi dong ka,no,no,x
41,adorableprojects,Hi @irmawati1373 maaf tepatnya dikecamatan apa kak?😊,no,yes,x
42,adorableprojects,Hi @syifakamilatul76 untuk order kakak bisa hub cs areanya ya kak😊,no,yes,x
43,adorableprojects,"Hi @shafiranns Kamu bs hubungi Adit, Customer Service area Jawa Timur (Kota Batu, Bangkalan, Banyuwangi, Blitar, Bojonegoro, Bondowoso, Gresik, Jember, Jombang, Kediri, Lamongan, Lumajang, Madiun, Magetan, Malang, Mojokerto, Nganjuk, Ngawi, Pacitan, Pamekasan, Pasuruan,Ponorogo, Probolinggo, Sampang, Sidoarjo, Situbondo, Sumenep, Trenggalek, Tuban dan Tulungagung) • SMS/Whatsapp : 083820416601 • BB Pin : D5043EB0 • LINE : adorableprojects007",no,yes,x
44,adorableprojects,"Hi @diandaraaandari Kamu bs hubungi Okta, Customer Service area Kota Bekasi dan Kabupaten Bekasi (Exclude Cikarang & Cibitung) • SMS/Whatsapp : 083829114398 • BB Pin : D5B1AA61 • LINE : adorableprojects013",no,yes,x
45,diandaraaandari,Terimakasih 😊,no,no,x
46,ina_misshijab,Cocok nih motion graphicnya @canti_d @dapurcantiii,no,no,x
47,malaaayea,Kalo offline store nya di mana ka? Jl. Cihanjuang cimahi bukan?,no,no,x
48,kananind,CS bali off ya kak?,no,no,x
49,ayuathalia15,Halo kak minta contact CS tangerang selatan dong,no,no,x
50,adorableprojects,"Hi @malaaayea Alamatnya :  Komp. Kavling IPTN Jl. Nusantara Raya No. 91 Cihanjuang, Cimahi (Jalan depan pabrik es diamond cihanjuang sebelum sekolah PGRI, cat rumah warna putih )",no,yes,x
51,adorableprojects,"Hi @kananind on kok kak, kakak hub via apa kak?😊",no,yes,x
52,adorableprojects,"Hi @ayuathalia15 Kamu bs hubungi Angga, Customer Service Area Tangerang Selatan • SMS/WA : 089621218267 • BB Pin : D4071F2E • LINE : adorableprojects010",no,yes,x
53,paeteulisy.a,😍,no,no,x
54,kananind,@adorableprojects via wa,no,no,x
55,adorableprojects,Hi @kananind no wa kakak berapa?😊,no,yes,x
56,hannayunisty,Cs jkt pusat dong kak,no,no,x
57,adorableprojects,"Hi @hannayunisty Kamu bs hubungi Wida, Customer Service Area Jakarta Pusat • SMS/Whatsapp : 089682468526 • BB Pin : 5FBAB63E • LINE : adorableprojects027.",no,yes,x
58,malamardianti,Punya siapa nih yah @heymutiara,no,no,x
59,neliagt,Cs lampung dong,no,no,x
60,adorableprojects,"Hi @neliagt Kamu bs hubungi Boni, Customer Service area Sumatera Selatan, Lampung, Riau, Kep. Riau dan Kep. Bangka Belitung • SMS/WA : 089618605183 • BB Pin : D5D39AE7 • LINE : adorableprojects002.",no,yes,x
61,projectbys,Totebage ga sale ya,no,no,x
62,adorableprojects,Hi @projectbys gak kakak,no,yes,x
63,irmawati1373,Kel.kebon pala,no,no,x
64,irmawati1373,Kec. Makasar,no,no,x
65,adorableprojects,"Hi @irmawati1373 Kamu bs hubungi Aldo, Customer Service Area Jakarta Timur 2 (Kec. Kramat Jati, Kec. Makasar, Kec. Pasar Rebo, Kec. Ciracas, Kec. Cipayung) • SMS/Whatsapp : 087825304238 • BB Pin : D22289CD • LINE : adorableprojects029",no,yes,x
66,anggitamayyy,Kak area semarang nomernya berapa yah? @adorableprojects,no,no,x
67,kananind,@adorableprojects 08133729*070,no,no,x
68,adorableprojects,"@kananind Kamu bs hubungi Yusra, Customer Service Area Bali dan Nusa Tenggara • SMS/WA : 085974702333 • BB Pin : D4AFAF07 • LINE : adorableprojects014",no,yes,x
69,adorableprojects,"@anggitamayyy Kamu bs hubungi Rafa, Customer Service Area Semarang • SMS/WA : 085724381603 • BB Pin : D55FA558 • LINE : adorableprojects019",no,yes,x
70,azizah___nur,Kalimantan ada gk min cs ny,no,no,x
71,heymutiara,Punya ekeu sist @malamardianti cucok deh @adorableprojects 😙,no,no,x
72,adorableprojects,"@azizah___nur Kamu bs hubungi Rahmat, Customer Service Area Kalimantan • SMS/WA : 083820538647 • BB Pin : 5F48913E • LINE : adorableprojects004",no,yes,x
73,riskarmdhni,Ini ada resletingnya?,no,no,x
74,vionavio3,yg cokelat msh ada ngga kak?,no,no,x
75,adorableprojects,"Morning! Fashion should be stylish and fun, yeahh but stylish with local product! 😆ㅤㅤㅤㅤㅤㅤ'Franchesca Olive Studd T'Shirt IDR 109.760' Faux Suede, All size fit ti Lㅤㅤㅤㅤㅤㅤ'Alfreda Overall Denim IDR 130.000' Wash Denim, Available size M dan Lㅤㅤㅤㅤㅤㅤ'Owie Wallet IDR 115.000' Size 19 cm x 9 cm, 8 Card Slotㅤㅤㅤㅤㅤㅤ'Enigma Point Loafer IDR 152.000' Available size 35 s/d 42ㅤㅤㅤㅤㅤㅤPromo hari ini, beli 1 set item hanya IDR 405.408 (Disc. 20%). More info dan promo order 1 set, kamu bisa hub cs area kamu ya sist! (9 wib - 21 wib) 😊🙏",yes,yes,x
76,meilindadwi_,Website nggak bisa kak,no,no,x
77,adorableprojects,Hi @meilindadwi_ iya kak untuk order kakak bisa hub cs areanya ya kak😊,no,yes,x
78,dians_marfuah,Share cs Makassar dongg,no,no,x
79,aiflaa,ini pilihan set item nya bebas ato gmana @adorableprojects,no,no,x
80,adorableprojects,"Hi @dians_marfuah Kamu bs hubungi Aoki, Customer Service Area Kota Makassar • SMS/Whatsapp : 085960040055 • BB Pin : D2ED4D4B • LINE : adorableprojects030",no,yes,x
81,adorableprojects,Hi @aiflaa 1 setnya yang sesuai yg kita share kak😊,no,yes,x
82,pujinomnom,Kak area semarang slow respon ini . aku WA sm LINE blm ada balasan ..,no,no,x
83,hangestywanshytoresmirp,@khar_1203 dek dompetnya owl,no,no,x
84,adorableprojects,Hi @pujinomnom iya kak maaf sblmnya cs area kita on jam 9 wib ya kak😊🙏,no,yes,x
85,adorableprojects,"@pujinomnom Operasional Customer Service : Senin-Jum'at (09.00-21.00), Sabtu (09.00-16.00), Minggu (OFF)",no,yes,x
86,rafidaeva,Ada chart size overall nya ga kak? 😀,no,no,x
87,adorableprojects,Hi @rafidaeva kakak biasa pakai size berapa?😊,no,yes,x
88,rafidaeva,"L sih, tapi takutnya itu L kecil hehe",no,no,x
89,adorableprojects,@rafidaeva Size LPanjang Baju : 69cmLingkar Ketiak : 68cmLingkar Bawah Baju : 112cmLingkar Pinggang : 104cmPanjang Tali : 46cm,no,yes,x
90,rafidaeva,Okee kak makasih infonya 😊,no,no,x
91,adorableprojects,"Hi @rafidaeva ok kak, Sama - sama kak 🙏 Mudah mudahan pelayanan kami berkenan ya 😊",no,yes,x
92,jours.id,Yuk di cek ig LAPAKHIJAB murah dan berkualitas .,no,no,x
93,thif_fah,Walletnya tevemm,no,no,x
94,thif_fah,Walletnya tebelnya segimana ya? Dalemnya brp kantong?,no,no,x
95,adorableprojects,"Hi @thif_fah silahkan hub cs area untuk detailnya kak, sudah ada kontak cs areanya blm?",no,yes,x
96,thif_fah,@adorableprojects sudah. Oke,no,no,x
97,ryanaaadl_,Itu overall nya rok apa celana ka?,no,no,x
98,adorableprojects,Hi @ryanaaadl_ rok kakak,no,yes,x
99,auliaaaaai,Mau ukuran 41,no,no,x
100,adorableprojects,"Make your style more different than usual with these local product! 😘ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ'Bruna Suede Black Blazer IDR 225.000' Artificial Suede, All size fit to Lㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ'New York 85 Brooklyn Tote Bag IDR 90.000' Size 41 x 35 cm, Handle 59 cm, With Ykk Zipperㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ'New Bennett Oxford Creamy II IDR 175.000' Platform 3 cm, Available size 35, 38 s/d 43ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤPengen foto kamu direpost? Tag kita dan pastikan profile km ga diprivate. Upload foto terkece kamu dengan gaya yg terbaik. Good Luck! 😊👌",yes,yes,x
101,cindyaugina,Kalo mau order yg ready stock daerah jateng hub cs yg mana ya kak?,no,no,x
102,yoonstagram99,Order daerah tangsel kmna ya kak?,no,no,x
103,adorableprojects,"Hi @cindyaugina Kamu bs hubungi Ricko, Customer Service area Jawa Tengah (Purwodadi, Purwokerto, Batang, Blora, Boyolali, Brebes, Cilacap, Demak, Jepara, Karanganyar, Kebumen, Kendal, Klaten, Kudus, Pati, Pemalang, Purbalingga, Purworejo, Rembang, Sragen, Sukoharjo, Banjarnegara, Temanggung, Wonogiri, Wonosobo, Magelang, Pekalongan, Salatiga, Surakarta dan Tegal)(• SMS/Whatsapp : 081222553972 • BB Pin : D5F3CB19 • LINE : adorableprojects012",no,yes,x
104,adorableprojects,"Hi @yoonstagram99 Kamu bs hubungi Angga, Customer Service Area Tangerang Selatan • SMS/WA : 089621218267 • BB Pin : D4071F2E • LINE : adorableprojects010",no,yes,x
105,siscaew,Min itu kalo tas sama sepatunya ga diskon?wkwk,no,no,x
106,adorableprojects,Hi @siscaew heheh saat ini harga  normal kak 😊,no,yes,x
107,rafitafuadah,Kak kalo mau order ke jogja gimana?,no,no,x
108,adorableprojects,"Hi @rafitafuadah Kamu bs hubungi Rio, Customer Service Area DI Yogyakarta • SMS/WA : 089690392401 • BB Pin : D454DCF7 • LINE : adorableprojects003",no,yes,x
109,naretaf,Halo mau order ke bdg kemana yah?,no,no,x
110,vianaruhiyat,"Kak, minta cs area bandung",no,no,x
111,adorableprojects,"Hi @naretaf Kamu bs hubungi Simon, Customer Service area Kota Bandung • SMS/Whatsapp : 087825394303 • BB Pin : D5305ABD • LINE : adorableprojects005",no,yes,x
112,adorableprojects,"Hi @vianaruhiyat Kamu bs hubungi Simon, Customer Service area Kota Bandung • SMS/Whatsapp : 087825394303 • BB Pin : D5305ABD • LINE : adorableprojects005",no,yes,x
113,dechan07,Kak mau minta cs daerah cirebooon,no,no,x
114,jessycaa.20,Sepatunya 😭😭😭😭,no,no,x
115,adorableprojects,"Hi @dechan07 Kamu bs hubungi Endry, Customer Service Area Jawa Barat 1 (Area Sukabumi, Cianjur, Karawang, Purwakarta, Subang, Indramayu dan Majalengka, Kuningan dan Cirebon) • SMS/Whatsapp : 089682468527 • BB Pin : 5FEB9855 • LINE : adorableprojects026",no,yes,x
116,ahasecond,Kontak bekasi dong kak.,no,no,x
117,haifilaarzda,ka website nya lagi error ya??,no,no,x
118,adorableprojects,"Hi @ahasecond Kamu bs hubungi Okta, Customer Service area Kota Bekasi dan Kabupaten Bekasi (Exclude Cikarang & Cibitung) • SMS/Whatsapp : 083829114398 • BB Pin : D5B1AA61 • LINE : adorableprojects013",no,yes,x
119,ujiig,"Min, cs area jakarta utara apa ya? Tq min",no,no,x
120,adorableprojects,"Hi @ujiig Kamu bs hubungi Upi, Customer Service Area Jakarta Utara • SMS/Whatsapp : 083829211818 • BB Pin : D41E2924 • LINE : adorableprojects017",no,yes,x
121,yashintannn,"min itu kan only valid today ya discountnya, kalau misal order skrg transfernya bsk bisa di proses ga?",no,no,x
122,adorableprojects,Hi @yashintannn bisa kok kak😊,no,yes,x
123,dyansari_sarumpaet,Ka area medann..,no,no,x
124,anisashinnn,Ka kenapa web nya ga bisa d buka terus. Lagi gangguan ?,no,no,x
125,adorableprojects,"Hi @dyansari_sarumpaet Kamu bs hubungi Deny, Customer Service Area Aceh, Sumatera Utara, Sumatera Barat, Jambi dan Bengkulu • SMS/WA : 081809098587 • BB Pin : D57AFA36 • LINE : adorableprojects011",no,yes,x
126,adorableprojects,"Hi @anisashinnn iya kak maaf sblmnya, kakak bisa hub cs area ya kak😊",no,yes,x
127,sihombingnur,Ka area jakarta selatan @adorableprojects ???,no,no,x
128,jayantimartasarii,sepatunya ready?,no,no,x
129,adorableprojects,Hi @sihombingnur tepatnya di kecamatan apa ?,no,yes,x
130,adorableprojects,Hi @jayantimartasarii untuk size berapa?,no,yes,x
131,jayantimartasarii,38,no,no,x
132,sihombingnur,Setiabudi karet kk @adorableprojects,no,no,x
133,adorableprojects,"Hi @sihombingnur Kamu bs hubungi Mul, Customer Service Area Jakarta Selatan 1 (Kec. Setiabudi, Kec. Tebet, Kec. Kebayoran Baru, Kec. Kebayoran Lama, Kec. Pesanggrahan) • SMS/WA: 083820398361 • BB Pin : 2B09D668 • LINE : adorableprojects015",no,yes,x
134,adorableprojects,@jayantimartasarii saat ini yg ready size 35/41/42/43 kak,no,yes,x
135,adorableprojects,"Get your pretty outfit and cheer up for the whole day let's try 😍ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ'Acastus Kimono IDR 105.000' Sheer Ceruty, All size fit to XLㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ'Caracenny Brown Mini Backpack IDR 165.000' Size 24 x 19 x 10 cm, Handle 80 cm (Adjustable)ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ'Enigma Point Loafer IDR 152.000' Available size 35 s/d 42ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤUntuk size yang tidak tertera kamu bisa ikut waiting list ke cs area kmu. Ingat untuk waiting tidak dipungut biaya apapun! 😊🙏",yes,yes,x
136,_hanifaah,Keknya kimononya bagus yah 😉 @fpurnamasari,no,no,x
137,farilestar,Yang acastus gaada foto detailnya?,no,no,x
138,adorableprojects,Hi @farilestar untuk foto detailnya kakak bisa hub cs areanya ya kak😊,no,yes,x
139,farilestar,Cs area jakarta barat apa ya?,no,no,x
140,adorableprojects,"Hi @farilestar Kamu bs hubungi Ace, Customer Service Area Jakarta Barat • SMS/WA: 083820678137 • BB Pin : D4863AD8 • LINE : adorableprojects001",no,yes,x
141,naningmilza,Cs untuk jakarta selatan ada gak min?,no,no,x
142,adorableprojects,Hi @naningmilza maaf tepatnya dikecamatan apa kak?😊,no,yes,x
143,naningmilza,Pasar minggu min,no,no,x
144,fitria_alfih,Area surabaya?,no,no,x
145,annisafirdha,cs area jaksel atau depok brapa ya kak??,no,no,x
146,adorableprojects,"Hi @naningmilza Kamu bs hubungi Hendra, Customer Service Area Jakarta Selatan 2 (Kec. Mampang Prapatan, Kec. Pancoran, Kec. Cilandak, Kec. Pasar Minggu, Kec. Jagakarsa) • SMS/WA: 083821613026 • BB Pin : 5F46D518 • LINE : adorableprojects024",no,yes,x
147,adorableprojects,"Hi @fitria_alfih Kamu bs hubungi Wahyu, Customer Service area Surabaya • SMS/WA : 083820668920 • BB Pin : D4FCA501 • LINE : adorableprojects020",no,yes,x
148,adorableprojects,Hi @annisafirdha maaf tepatnya dikecamatan apa kak?😊,no,yes,x
149,muarifahhandayani,Cs area semarang dong kak,no,no,x
150,adorableprojects,"Hi @muarifahhandayani Kamu bs hubungi Rafa, Customer Service Area Semarang • SMS/WA : 085724381603 • BB Pin : D55FA558 • LINE : adorableprojects019",no,yes,x
151,naningmilza,Makasih min,no,no,x
152,adorableprojects,Hi @naningmilza ok kak 😊🙏,no,yes,x
153,humangoaway,"kak pas aku add, yg jakbar udh gabisa😅 ""the acc you add has reached the friend limit""",no,no,x
154,adorableprojects,"Hi @humangoaway iya kak maaf sebelumnya line cs area kita sudah full, coba via whatsapp/sms/bbm kak 🙏🏻",no,yes,x
155,dianikaprasetya,"Yaaang , aku mau @faj_rian 😂",no,no,x
156,maftuhahey,ka itu spatuya size 40 ada?,no,no,x
157,adorableprojects,Hi @maftuhahey saat ini masih ready kok kak😊,no,yes,x
158,endahyuli_astuti,Ka.  Cs area magelang?,no,no,x
159,adorableprojects,"Hi @endahyuli_astuti Kamu bs hubungi Ricko, Customer Service area Jawa Tengah (Purwodadi, Purwokerto, Batang, Blora, Boyolali, Brebes, Cilacap, Demak, Jepara, Karanganyar, Kebumen, Kendal, Klaten, Kudus, Pati, Pemalang, Purbalingga, Purworejo, Rembang, Sragen, Sukoharjo, Banjarnegara, Temanggung, Wonogiri, Wonosobo, Magelang, Pekalongan, Salatiga, Surakarta dan Tegal)(• SMS/Whatsapp : 081222553972 • BB Pin : D5F3CB19 • LINE : adorableprojects012",no,yes,x
160,nazillasyakira,Itu bajunya modelnya kaya gmn?,no,no,x
161,adorableprojects,Hi @nazillasyakira untuk detailnya kakak bisa hub cs areanya ya kak😊,no,yes,x
162,dputatami,Kak untuk cs tangsel apa ya?  mini backpack nya masih ada gak ya kak?,no,no,x
163,adorableprojects,"Hi @dputatami Kamu bs hubungi Angga, Customer Service Area Tangerang Selatan • SMS/WA : 089621218267 • BB Pin : D4071F2E • LINE : adorableprojects010",no,yes,x
164,aaazhr.a,"Ka kimono nya,untuk foto nya sendiri dong biar kelihatan gimana bentuk nya",no,no,x
165,adorableprojects,"@aaazhr.a untuk info detailnya bisa hub cs areanya kak, sudah ada kontaknya blm?",no,yes,x
166,kikiandriyani24,Cs bogor dong ka @adorableprojects,no,no,x
167,adorableprojects,"Handmade outfit can make your appearance so stylish, especially with an affordable price! 😊ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ'Annica Corduroy Jacket Brown IDR 190.000' Cotton Corduroy, Available size S s/d XLㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ'Latoya Black Studded Clutch IDR 125.000' Size 16 cm x 23 cm, Handle 105 cm (Adjustable)ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ'Strelizia Sneakers IDR 160.000' Available size 38 dan 40ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤHati-hati dengan penipuan pastikan kontak cs area kmu benar, kmu bisa konfirmasi via komen atau dm ya sist 😊🙏",yes,yes,x
168,trscalavau,"Duh racun bngt :(( @cristinasitorus , blm aja kebeli jaket yg navi , yg brown udh keluar aja lg si 😩😩😩😩",no,no,x
169,cristinasitorus,"Bagus ini tris:((, racuni aja terus aku tris 😢 @trscalavau",no,no,x
170,riskafbry,Kalau udah lebih dari seminggu belum produksi lagi gimana 😢😢,no,no,x
171,arimurtii,Kak cs Jateng dong,no,no,x
172,adorableprojects,Hi @riskafbry maaf kak sblmnya mungkin terkendala dgn bahan kak 😊🙏,no,yes,x
173,adorableprojects,"Hi @arimurtii Kamu bs hubungi Ricko, Customer Service area Jawa Tengah (Purwodadi, Purwokerto, Batang, Blora, Boyolali, Brebes, Cilacap, Demak, Jepara, Karanganyar, Kebumen, Kendal, Klaten, Kudus, Pati, Pemalang, Purbalingga, Purworejo, Rembang, Sragen, Sukoharjo, Banjarnegara, Temanggung, Wonogiri, Wonosobo, Magelang, Pekalongan, Salatiga, Surakarta dan Tegal)(• SMS/Whatsapp : 081222553972 • BB Pin : D5F3CB19 • LINE : adorableprojects012",no,yes,x
174,nuruuuuulllll_,Ada gmbr lebih detail untuk jaket nya??,no,no,x
175,adorableprojects,Hi @nuruuuuulllll_ untuk gambar detailnya kakak bisa hub cs areanya ya kak😊,no,yes,x
176,nuruuuuulllll_,Kalo d web udh ada blm ya? @adorableprojects,no,no,x
177,adorableprojects,Hi @nuruuuuulllll_ ada kok kak😊,no,yes,x
178,rismaningtys,Kak ini masih?@adorableprojects,no,no,x
179,adorableprojects,Hi @rismaningtys maaf untuk product yg mana kak?😊,no,yes,x
180,rismaningtys,Jaketnya kak @adorableprojects,no,no,x
181,adorableprojects,Hi @rismaningtys kakak biasa pakai size berapa?😊,no,yes,x
182,rismaningtys,Kalo size m kecil bngt gag kak? @adorableprojects,no,no,x
183,yuyunitas,Untuk detail sneakers nya di web ada kak?,no,no,x
184,adorableprojects,Hi @rismaningtys (Size M)Panjang Baju : 61CmLingkar Dada : 100CmLebar Bahu : 44CmLingkar Ketiak : 48CmPanjang Lengan Baju : 60CmLingkar Bawah Baju : 104Cm,no,yes,x
185,adorableprojects,Hi @yuyunitas ada kok kak😊,no,yes,x
186,yessikurnia,Mb restock lgi nih @nadyaoktaviani09,no,no,x
187,_ceestla,mau jaketnya tapi yg polos :(,no,no,x
188,windriyy,@adorableprojects ka ada size L pr Xl ?,no,no,x
189,mekaaseptii,Ka jaket cuma ada warna itu ajah kah?,no,no,x
190,adorableprojects,Hi @windriyy ready kok kak size L dan XLnya😊,no,yes,x
191,adorableprojects,Hi @mekaaseptii ada warna navy kok kak😊,no,yes,x
192,mekaaseptii,Ka bagi cs di daerah indramayu dong,no,no,x
193,maungapain,Kak area jatim minta kontak cs nya dong,no,no,x
194,rositaheronisa,Cs area palembang apa ka ?,no,no,x
195,dyahayumikaharina,Kak itu mksd nya misal ukuran sepatu yg aku pengen gag ada bisa restock lagi gitu ? 😊 @adorableprojects,no,no,x
196,mprr21,Kak ini ada yg polos gak? @adorableprojects,no,no,x
197,adorableprojects,@mprr21 untuk product apa ?,no,yes,x
198,adorableprojects,@dyahayumikaharina Kalo kakak mau bisa ikut waiting list dlu via cs areanya,no,yes,x
199,adorableprojects,"@rositaheronisa Kamu bs hubungi Boni, Customer Service area Sumatera Selatan, Lampung, Riau, Kep. Riau dan Kep. Bangka Belitung • SMS/WA : 089618605183 • BB Pin : D5D39AE7 • LINE : adorableprojects002",no,yes,x
200,adorableprojects,"@maungapain Kamu bs hubungi Adit, Customer Service area Jawa Timur (Kota Batu, Bangkalan, Banyuwangi, Blitar, Bojonegoro, Bondowoso, Gresik, Jember, Jombang, Kediri, Lamongan, Lumajang, Madiun, Magetan, Malang, Mojokerto, Nganjuk, Ngawi, Pacitan, Pamekasan, Pasuruan,Ponorogo, Probolinggo, Sampang, Sidoarjo, Situbondo, Sumenep, Trenggalek, Tuban dan Tulungagung) • SMS/Whatsapp : 083820416601 • BB Pin : D5043EB0 • LINE : adorableprojects007",no,yes,x
201,adorableprojects,"@mekaaseptii Kamu bs hubungi Endry, Customer Service Area Jawa Barat 1 (Area Sukabumi, Cianjur, Karawang, Purwakarta, Subang, Indramayu dan Majalengka, Kuningan dan Cirebon) • SMS/Whatsapp : 089682468527 • BB Pin : 5FEB9855 • LINE : adorableprojects026",no,yes,x
202,mprr21,Jaketnya yg brown ada yg polos? @adorableprojects,no,no,x
203,adorableprojects,@mprr21 untuk model itu gak ada yg polos kak,no,yes,x
204,tiwisl,Yang xl ldnya berapa ya? @adorableprojects,no,no,x
205,adorableprojects,@tiwisl (Size XL)Panjang Baju : 68CmLingkar Dada : 114CmLebar Bahu : 50CmLingkar Ketiak : 52CmPanjang Lengan Baju : 66CmLingkar Bawah Baju : 118Cm,no,yes,x
