no,Kalimat Awal,Kalimat Hasil Preproses,Label Awal,Label Exp1,,Label Exp2,,Label Exp3,,Label Exp4,
15,Ready to booked bowbow pants warna Machiato size L,to dipesan bowbow pants warna machiato ukuran l ,abaikan,abaikan,true,abaikan,true,abaikan,true,abaikan,true
16,Kok web nynprnuh terus yaa @vanillahijab,web nynprnuh iya _mentionpemilik_ ,jawab,jawab,true,jawab,true,jawab,true,jawab,true
17,Web nya penuh terus..,web nya penuh _tanda_titik_ ,baca,baca,true,baca,true,baca,true,jawab,false
18,yahh,yahh ,abaikan,abaikan,true,baca,false,baca,false,baca,false
19,Proses checkoit gagal terus ulang lagi ulang lagi dari step 1 😂,proses checkoit gagal ulang ulang step _angka_ _emot_pos_ ,baca,baca,true,baca,true,baca,true,baca,true
20,"Done Kia Instan rouge, biyan and jeans. Bobow pants darkgrey 😁",done kia instan rouge biyan and jeans _tanda_titik_ bobow pants darkgrey _emot_pos_ ,baca,abaikan,false,abaikan,false,abaikan,false,abaikan,false
21,Masih ada kia instan rose & rouge 😊 berminat dm yaa 😊,kia instan rose & rouge _emot_pos_ berminat dm iya _emot_pos_ ,abaikan,abaikan,true,abaikan,true,abaikan,true,abaikan,true
22,Alhamdulillah dpt kia instan banyak warna cantik😄,alhamdulillah kia instan warna cantik _emot_pos_ ,baca,baca,true,baca,true,baca,true,abaikan,false
23,Cara pesan bagaimana?,pesan _tanda_tanya_ ,jawab,jawab,true,jawab,true,jawab,true,jawab,true
24,Yey kebagian rouge + biyan 😋,yey kebagian rouge + biyan _emot_pos_ ,baca,abaikan,false,baca,true,baca,true,baca,true
25,"Tulisan d web pas checkout ""sabar ya sis"" sampe 40 menit masih blm berhasil 😂","tulisan web pas checkout "" sabar iya kakak perempuan "" _angka_ menit berhasil _emot_pos_ ",baca,jawab,false,abaikan,false,abaikan,false,baca,true
26,Ready Bowbow pants lips L dan Kia Instan olive,bowbow pants lips l kia instan olive ,abaikan,abaikan,true,abaikan,true,abaikan,true,abaikan,true
27,Kia instan banyak warna cek ig kita sis,kia instan warna cek ig kakak perempuan ,abaikan,abaikan,true,abaikan,true,abaikan,true,abaikan,true
28,ready soon lipmatte😊,lipmatte _emot_pos_ ,abaikan,abaikan,true,baca,false,baca,false,abaikan,true
29,ready soon lipmatte😊,lipmatte _emot_pos_ ,abaikan,abaikan,true,baca,false,baca,false,abaikan,true
30,"AVAIL kia rose, lipmatte, olive, frozen, jeans. yuk cek ig. bisa free ongkir via shopee",avail kia rose lipmatte olive frozen jeans _tanda_titik_ ayo cek ig _tanda_titik_ free ongkos kirim via shopee ,abaikan,abaikan,true,abaikan,true,abaikan,true,abaikan,true
31,"KIA Instan Jeans 2pc, Rouge, Rose,  LipMatte only 80rb bisa via shopee.  Minat DM ya.",kia instan jeans _angka_ pc rouge rose lipmatte _angka_ ribu via shopee _tanda_titik_ minat dm iya _tanda_titik_ ,abaikan,abaikan,true,abaikan,true,abaikan,true,abaikan,true
32,"Pdhl pgn bobow pants dark grey,tp krna web penuh trz darkgrey nya keburu sold . Tp gpp,yg penting dpt bobow loewy😄 yyyeeeyyyy",bobow pants dark grey web penuh darkgrey nya terlanjur terjual _tanda_titik_ - bobow luwy _emot_pos_ yey ,baca,baca,true,baca,true,baca,true,baca,true
33,"bobow pants loewy, dark grey, silver, machiato size m bisa dm ya",bobow pants luwy dark grey silver machiato ukuran m dm iya ,abaikan,abaikan,true,abaikan,true,abaikan,true,abaikan,true
34,Semoga ada yg hit n run kia instan teal👻,semoga hit lari kia instan teal _emot_netral_ ,abaikan,abaikan,true,abaikan,true,abaikan,true,abaikan,true
35,"Loewy n silver size L, kia rose, yang ketinggalan boleh mampir 💃💃💃💃💃",luwy silver ukuran l kia rose tertinggal mampir _emot_netral_ _emot_netral_ _emot_netral_ _emot_netral_ _emot_netral_ ,abaikan,abaikan,true,abaikan,true,abaikan,true,abaikan,true
36,iya aku uda check out balik lagi ke step 1 syeedihh akhirnya ada 4pcs terkurangi otomatis syediih,iya periksa out step _angka_ syeedihh _angka_ pcs terkurangi otomatis syediih ,baca,abaikan,false,baca,true,baca,true,baca,true
37,Yg pnya bobow pants dark grey dan lips ukuran L sya maauu,pnya bobow pants dark grey lips ukuran l sya maauu ,abaikan,abaikan,true,abaikan,true,abaikan,true,abaikan,true
38,Ingin nangis ih,menangis jijik ,baca,baca,true,baca,true,baca,true,abaikan,false
39,Ga dapet,,baca,baca,true,baca,true,baca,true,baca,true
40,Kia instan cek ig kita sis banyak warna,kia instan cek ig kakak perempuan warna ,abaikan,abaikan,true,abaikan,true,abaikan,true,abaikan,true
41,"Avail Kia instan rouge, campina & olive. Yg minat dm yaa 😉",avail kia instan rouge campina & olive _tanda_titik_ minat dm iya _emot_pos_ ,abaikan,abaikan,true,abaikan,true,abaikan,true,abaikan,true
42,"Ready to booked rose,rouge,lippmatte,frozen,teal, pengiriman jakartatimur,bisa cek langsung IG,thanks😊",to dipesan rose rouge lippmatte frozen teal pengiriman jakartatimur cek langsung ig terima kasih _emot_pos_ ,abaikan,abaikan,true,abaikan,true,abaikan,true,baca,false
43,Yang ga kebagian Kia olive bisa DM yes 😊,kebagian kia olive dm yes _emot_pos_ ,abaikan,abaikan,true,abaikan,true,abaikan,true,abaikan,true
44,"Bantu jawab @na.setyaorder via web mba di www.vanillahijab.com kalau mba belum jadi member silahkan daftar dulu mba. Biasanya sih suka ada hit n run, siapa tau beruntung 😉 happy shopping",bantu _mentionteman_ via web kakak perempuan _url_ kakak perempuan member silakan daftar kakak perempuan _tanda_titik_ sih suka hit lari beruntung _emot_pos_ bahagia shopping ,baca,abaikan,false,abaikan,false,abaikan,false,baca,true
45,novi_rachmawati .mau kia olive 😂😂,novi_rachmawati _tanda_titik_ kia olive _emot_pos_ _emot_pos_ ,abaikan,abaikan,true,abaikan,true,abaikan,true,abaikan,true
46,Kalau kaya gitu di refresh lagi mba takutnya keburu sold out. Kuncinya emang harus di refresh2 terus soalnya traffic di web padet banget mba rullynurlia,kaya refresh kakak perempuan takutnya terlanjur terjual out _tanda_titik_ kuncinya refresh _angka_ traffic web padat banget kakak perempuan rullynurlia ,baca,baca,true,baca,true,baca,true,abaikan,false
47,Yg punya kia rose n campina blh dm. Yg punya keduanya ya...,kia rose campina dm _tanda_titik_ iya _tanda_titik_ ,abaikan,abaikan,true,abaikan,true,abaikan,true,abaikan,true
48,Bantu jawab @tandriani45 silahkan daftar member di web mba di www.vanillahijab.com,bantu _mentionteman_ silakan daftar member web kakak perempuan _url_ ,baca,abaikan,false,abaikan,false,abaikan,false,abaikan,false
49,Bantu jawab @wulan_febryana_putri pengiriman dari jakarta mba. Nanti untuk ongkirnya sudah otomatis di hitung pada saat check out di web mba.,bantu _mentionteman_ pengiriman _daerah_ kakak perempuan _tanda_titik_ ongkirnya otomatis hitung periksa out web kakak perempuan _tanda_titik_ ,baca,abaikan,false,abaikan,false,abaikan,false,abaikan,false
50,Cara pesan'y gmn @vanillahijab,pesan'y _mentionpemilik_ ,jawab,jawab,true,jawab,true,jawab,true,jawab,true
51,"KIA rose, biyan, frozen cek ig yaa 😊",kia rose biyan frozen cek ig iya _emot_pos_ ,abaikan,abaikan,true,abaikan,true,abaikan,true,abaikan,true
52,@maya4323 order hanya via website vanillahijab.com/ registrasi dan cek @carabelanjavanilla ya dear., _mentionteman_ order via website vanillahijab _tanda_titik_ com pendaftaran cek _mentionteman_ iya dear _tanda_titik_ ,baca,abaikan,false,abaikan,false,abaikan,false,abaikan,false
53,"@tandriani45 @anditaratih order hanya via website saat jam open order, registrasi dulu di vanillahijab.com/ cek @carabelanjavanilla , @wulan_febryana_putri Pengiriman dari Jakarta via Si Cepat.", _mentionteman_ _mentionteman_ order via website jam open order pendaftaran vanillahijab _tanda_titik_ com cek _mentionteman_ _mentionteman_ pengiriman _daerah_ via si cepat _tanda_titik_ ,baca,abaikan,false,abaikan,false,abaikan,false,abaikan,false
54,Baru buka udah sold out kaya tiket kereta api .😪,_daerah_ buka terjual out kaya tiket kereta api _tanda_titik_ _emot_netral_ ,baca,abaikan,false,baca,true,baca,true,jawab,false
55,OK..nanti kalau minat lgsg order..makasih ya😊,oke _tanda_titik_ minat langsung order _tanda_titik_ terima kasih iya _emot_pos_ ,baca,abaikan,false,baca,true,baca,true,abaikan,false
56,"Alhamdulillah,  order @vanillahijab itu gampang bgt , semoga makin sukses :)",alhamdulillah order _mentionpemilik_ gampang banget semoga sukses :) ,baca,jawab,false,baca,true,baca,true,baca,true
57,"Jilbab Kia nya sudah sold out semua, ready stok kapan ka",jilbab kia nya terjual out persediaan kakak ,jawab,jawab,true,baca,false,baca,false,abaikan,false
58,Aku kehabisan huft,kehabisan mengeluh ,baca,abaikan,false,baca,true,baca,true,jawab,false
59,Kalau kode unik yg muncul di total pembayaran itu APA yah? Jadi menambah total biaya @vanillahijab @dindavanillahijab,kode unik muncul total pembayaran kecewa _tanda_tanya_ menambah total biaya _mentionpemilik_ _mentionteman_ ,jawab,jawab,true,abaikan,false,abaikan,false,jawab,true
60,restock dong,restock ,baca,baca,true,baca,true,baca,true,jawab,false
61,Restock....restock...restock...restock....amiin..,restock _tanda_titik_ restock _tanda_titik_ restock _tanda_titik_ restock _tanda_titik_ amiin _tanda_titik_ ,baca,baca,true,baca,true,baca,true,baca,true
62,"@wulan_febryana_putri iya dear, untuk memudahkan pengecekannya juga.", _mentionteman_ iya dear memudahkan pengecekannya _tanda_titik_ ,baca,abaikan,false,abaikan,false,abaikan,false,abaikan,false
63,"Kia rose, gading,campina, biyan, rouge yuk cek ig 😚",kia rose gading campina biyan rouge ayo cek ig _emot_pos_ ,abaikan,abaikan,true,abaikan,true,abaikan,true,abaikan,true
64,"Kia Instan Jeans, Teal, Lipmate, Frozen, Rose only 78rb 😘",kia instan jeans teal lipmate frozen rose _angka_ ribu _emot_pos_ ,abaikan,abaikan,true,abaikan,true,abaikan,true,abaikan,true
65,"Kia instan lipmatte, rose, cacaote, campina, jeans, n biyan msh ada di kita, yuk cek ig.. Pengiriman dr tangerang..",kia instan lipmatte rose cacaote campina jeans biyan ayo cek ig _tanda_titik_ pengiriman _daerah_ _tanda_titik_ ,abaikan,abaikan,true,abaikan,true,abaikan,true,abaikan,true
66,Ada hit Run dong... @vanillahijab,hit lari _tanda_titik_ _mentionpemilik_ ,baca,jawab,false,baca,true,baca,true,jawab,false
67,@eightninehijab brpa mbk, _mentionteman_ kakak perempuan ,abaikan,abaikan,true,abaikan,true,abaikan,true,abaikan,true
68,"sisa rouge dan lipmatte kirim dari sby, DM yg minat",sisa rouge lipmatte kirim surabaya dm minat ,abaikan,abaikan,true,abaikan,true,abaikan,true,abaikan,true
69,Sis @dindavanillahijab aq lp trf gr2 masak.. Hiks. Skrg trf msih bs engga ya? Mhn bantuanya,kakak perempuan _mentionteman_ lupa trf gede _angka_ masak _tanda_titik_ sedih _tanda_titik_ trf msih iya _tanda_tanya_ mohon bantuanya ,jawab,abaikan,false,abaikan,false,abaikan,false,abaikan,false
70,BOBOW pantsnyaa & KIA instan READY yaah for booked 😇😇,bobow pantsnyaa & kia instan kecewa for dipesan _emot_pos_ _emot_pos_ ,abaikan,abaikan,true,abaikan,true,abaikan,true,abaikan,true
71,Kia instan rouge n olive. Bowbow pants navy S n machiato S. Minat bsa DM ya freeong via shopee,kia instan rouge olive _tanda_titik_ bowbow pants navy s machiato s _tanda_titik_ minat dm iya freeong via shopee ,abaikan,abaikan,true,abaikan,true,abaikan,true,abaikan,true
72,Last stock KIA Lipmate only 73rb 😘,persediaan kia lipmate _angka_ ribu _emot_pos_ ,abaikan,abaikan,true,abaikan,true,abaikan,true,abaikan,true
73,"Yg masih nyari KIA teal, rouge, lipmatte yuks DM sist",mencari kia teal rouge lipmatte ayo dm kakak perempuan ,abaikan,abaikan,true,abaikan,true,abaikan,true,abaikan,true
74,"Yang minat kia instan olive &rouge, pengiriman jakarta timur,harga 80,bisa cek langsung IG, thanks😊",minat kia instan olive & rouge pengiriman _daerah_ timur harga _angka_ cek langsung ig terima kasih _emot_pos_ ,abaikan,abaikan,true,abaikan,true,abaikan,true,abaikan,true
75,Ada warna apa saja?,warna _tanda_tanya_ ,jawab,jawab,true,jawab,true,jawab,true,jawab,true
76,Hit n run ada gak ya,hit lari iya ,abaikan,abaikan,true,abaikan,true,abaikan,true,jawab,false
77,Kapan #vanillapremiumscarf nya ready sistaa?? Mauu bangett... @sistervanillahijab @vanillahijab,_hashtag_ scarf nya sistaa _tanda_tanya_ mauu bangett _tanda_titik_ _mentionteman_ _mentionpemilik_ ,jawab,jawab,true,abaikan,false,abaikan,false,abaikan,false
78,Sdh transfer n konfirm dr pagi td k website tp blm dpt email dr @vanillahijab,transfer konfirmasi pagi website email _mentionpemilik_ ,jawab,jawab,true,jawab,true,jawab,true,jawab,true
79,Avail kia instan teal campina lipmatte,avail kia instan teal campina lipmatte ,abaikan,abaikan,true,abaikan,true,abaikan,true,abaikan,true
80,Yg msh punya rose dm ya. Pengen bnget 😢,rose dm iya _tanda_titik_ banget _emot_neg_ ,abaikan,abaikan,true,abaikan,true,abaikan,true,baca,false
81,"Kia LIPMATTE, CAMPINA, GADING, OLIVE, FROZEN, CACAOTE, FUSCHIA, BIYAN...free ongkir via Shopee",kia lipmatte campina gading olive frozen cacaote fuschia biyan _tanda_titik_ free ongkos kirim via shopee ,abaikan,abaikan,true,abaikan,true,abaikan,true,abaikan,true
82,Avail fushia dan lipmate cek ig kita sis,avail fushia lipmate cek ig kakak perempuan ,abaikan,abaikan,true,abaikan,true,abaikan,true,abaikan,true
83,"Kia fushia, frozen, gading...yg cari dm ya😊 thx",kia fushia frozen gading _tanda_titik_ cari dm iya _emot_pos_ terima kasih ,abaikan,abaikan,true,abaikan,true,abaikan,true,abaikan,true
84,Haiiiii aku mau jual kia instan campina. Salah beliiii.. yg minat dm aja ya ;),hai jual kia instan campina _tanda_titik_ salah beli _tanda_titik_ minat dm iya ;) ,abaikan,abaikan,true,abaikan,true,abaikan,true,abaikan,true
85,Ka restok kia instan warna kalem dongg. Kya Hitam. Navy. Maroon kaa. @vanillahijab .,kakak restok kia instan warna kalem dongg _tanda_titik_ kya hitam _tanda_titik_ navy _tanda_titik_ maroon kaa _tanda_titik_ _mentionpemilik_ _tanda_titik_ ,baca,abaikan,false,abaikan,false,abaikan,false,abaikan,false
86,Masih ready gading dn fuschia minat dm ya,gading dn fuschia minat dm iya ,abaikan,abaikan,true,abaikan,true,abaikan,true,abaikan,true
87,"Masih ready Rouge, CAMPINA , Biyan , CACAOTE , ROSE ...Cek Ig langsung yaa",rouge campina biyan cacaote rose _tanda_titik_ cek ig langsung iya ,abaikan,abaikan,true,abaikan,true,abaikan,true,abaikan,true
88,"Yg kehabisan warna jeans , rose ,lipmatte ready di kami ya , kia instant di modifikasi pakai lace,diamond fancy dan 3D flower aplikasi makin keren n elegan lho sista cek di @queenaccessories2",kehabisan warna jeans rose lipmatte iya kia instan modifikasi pakai lace diamond fancy _angka_ bunga aplikasi keren elegan lho kakak perempuan cek _mentionteman_ ,abaikan,abaikan,true,abaikan,true,abaikan,true,abaikan,true
89,ready warna lipmatte n olive yaaa cek ig,warna lipmatte olive iya cek ig ,abaikan,abaikan,true,abaikan,true,abaikan,true,abaikan,true
90,Avail kia Rose n Lipmatee,avail kia rose lipmatee ,abaikan,abaikan,true,abaikan,true,abaikan,true,abaikan,true
91,Msh ready kia instan dan bobow pants M lips freeongkir,kia instan bobow pants m lips freeongkir ,abaikan,abaikan,true,abaikan,true,abaikan,true,abaikan,true
92,di web nya blm ada yaa sis? @vanillahijab,web nya iya kakak perempuan _tanda_tanya_ _mentionpemilik_ ,jawab,jawab,true,jawab,true,jawab,true,jawab,true
93,harga kia instan sis ? @dindavanillahijab,harga kia instan kakak perempuan _tanda_tanya_ _mentionteman_ ,jawab,abaikan,false,abaikan,false,abaikan,false,abaikan,false
94,@vanillahijab yg uk L utk lingkar pinggul 115 cukup gak mba?, _mentionpemilik_ uk l lingkar pinggul _angka_ kakak perempuan _tanda_tanya_ ,jawab,abaikan,false,jawab,true,jawab,true,jawab,true
95,Harga hijab nya donk,harga hijab nya ,jawab,baca,false,jawab,true,jawab,true,jawab,true
96,😍😍😍, _emot_pos_ _emot_pos_ _emot_pos_ ,abaikan,abaikan,true,baca,false,baca,false,baca,false
97,@hlnraydev ditungu ya dear., _mentionteman_ ditungu iya dear _tanda_titik_ ,abaikan,abaikan,true,abaikan,true,abaikan,true,abaikan,true
98,warna lengkapnya belum ada di web ya?,warna lengkapnya web iya _tanda_tanya_ ,jawab,jawab,true,jawab,true,jawab,true,jawab,true
99,@novi_rachmawati @hijabcantikos harga bisa diinfokan saat open order dear., _mentionteman_ _mentionteman_ harga diinfokan open order dear _tanda_titik_ ,abaikan,abaikan,true,abaikan,true,abaikan,true,abaikan,true
100,"@sisisyamsiah iya dear,  ditungg ya.", _mentionteman_ iya dear ditungg iya _tanda_titik_ ,abaikan,abaikan,true,abaikan,true,abaikan,true,abaikan,true
101,"Detil ukurannya yg L/XL donk mba, sy gak pake Line soalnya kl mau tny ke vanilla info",datail ukurannya l xl kakak perempuan pakai line vanilla informasi ,jawab,jawab,true,jawab,true,jawab,true,abaikan,false
102,Jadi laper mata mah liat warna ny yg kalem 😍 @vanillahijab,lapar mata mah lihat warna ny kalem _emot_pos_ _mentionpemilik_ ,baca,abaikan,false,jawab,false,jawab,false,baca,true
103,@sisisyamsiah sdh ada katalog warna ya mba di web, _mentionteman_ katalog warna iya kakak perempuan web ,abaikan,jawab,false,abaikan,true,abaikan,true,abaikan,true
104,"Yuk yg mau titip order masih bisaa yaaa.. Langsung DM atau Line, bisa subsidi ongkir via shopee 😘😘",ayo titip order bisaa iya _tanda_titik_ langsung dm line subsidi ongkos kirim via shopee _emot_pos_ _emot_pos_ ,abaikan,abaikan,true,abaikan,true,abaikan,true,abaikan,true
105,Info donk yg msh punya mille blouse size s,informasi mille blouse ukuran s ,abaikan,abaikan,true,abaikan,true,abaikan,true,abaikan,true
106,Size apa neh sis. ??,ukuran kakak perempuan _tanda_titik_ _tanda_tanya_ ,jawab,jawab,true,jawab,true,jawab,true,abaikan,false
107,Size apa neh sis. .???,ukuran kakak perempuan _tanda_titik_ _tanda_titik_ _tanda_tanya_ ,jawab,jawab,true,jawab,true,jawab,true,abaikan,false
108,Ada size xl sis,ukuran xl kakak perempuan ,jawab,jawab,true,jawab,true,jawab,true,abaikan,false
109,Kakak Minta info detail s/M Dan M/L keterangan  brp cm kak Lingkar pinggul Lingkar paha @vanillaforclothing @vanillahijab,kakak informasi detail s m m l keterangan cm kak lingkar pinggul lingkar paha _mentionteman_ _mentionpemilik_ ,jawab,jawab,true,abaikan,false,abaikan,false,abaikan,false
110,Halo kak @butik_kadesqons menjual produk gamis dan jilbab dengan kualitas sangat baik insha Allah. Bisa cek ig yah😊,hallo kak _mentionteman_ menjual produk gamis jilbab kualitas insha allah _tanda_titik_ cek ig kecewa _emot_pos_ ,abaikan,abaikan,true,abaikan,true,abaikan,true,abaikan,true
111,@vanillahijab kalo untuk bumil sizenya apa ya?, _mentionpemilik_ ibu hamil sizenya iya _tanda_tanya_ ,jawab,jawab,true,jawab,true,jawab,true,jawab,true
112,Hiks vanilla bikin mupeng terus 😭,sedih vanilla _emot_neg_ ,baca,baca,true,baca,true,baca,true,baca,true
113,"@sitirahma1224 adanya M, mbak", _mentionteman_ m mbak ,abaikan,abaikan,true,abaikan,true,abaikan,true,abaikan,true
114,@ilayaomi terakhir saya hamil sampai trimester akhir masih muat S/M. Tergantung tinggi & BB, _mentionteman_ hamil trimester muat s m _tanda_titik_ tergantung & bb ,abaikan,jawab,false,abaikan,true,abaikan,true,abaikan,true
115,Gak ada detail utk size nya?,detail ukuran nya _tanda_tanya_ ,jawab,jawab,true,jawab,true,jawab,true,abaikan,false
116,"Yg takut lupa dan minat titip beli silahkan dm 😉 tq, #testimonichiic",takut lupa minat titip beli silakan dm _emot_pos_ terima kasih _hashtag_ stimonichiic ,abaikan,abaikan,true,abaikan,true,abaikan,true,abaikan,true
117,"Keranjang belanja tiba2 0,,, pdhl klik pesan sekarang gmn tu??? Dan udh g bs order pdhl msh ada stock??? Kok bs gt????",keranjang belanja _angka_ _angka_ klik pesan tu _tanda_tanya_ g order persediaan _tanda_tanya_ _tanda_tanya_ ,jawab,jawab,true,jawab,true,jawab,true,jawab,true
118,kok g berhasil2 order @vanillahijab,g berhasil _angka_ order _mentionpemilik_ ,jawab,jawab,true,jawab,true,jawab,true,jawab,true
119,Done.. Alhmdulillah dapet yg ini.. 😊,done _tanda_titik_ alhmdulillah _tanda_titik_ _emot_pos_ ,baca,baca,true,baca,true,baca,true,baca,true
120,"Maaf anda udah mencapai maksimal order hari ini, anda baru bisa order kembali besok,,,, lah keranjang belanja sy aja tiba2 0 gmn ni??? G jd lagi q blnj produk @vanillahijab nya",maaf mencapai maksimal order _daerah_ order besok keranjang belanja _angka_ _angka_ _tanda_tanya_ g q belanja produk _mentionpemilik_ nya ,jawab,jawab,true,jawab,true,jawab,true,jawab,true
121,"@vanillahijab sis Kok ud klik masuk keranjang belanja yg di beli celana ter save berang  1 -> pas klik lihat barang lainnya mau beli hijab-> lanjut -> kok jdnya di keranjang belanja celana lgsg di blg ""habis sold out sih sis khan ud di keranjang pesanan k"," _mentionpemilik_ kakak perempuan klik masuk keranjang belanja beli celana ter simpan berang _angka_ - > pas klik lihat barang beli hijab - > - > jdnya keranjang belanja celana langsung bilang "" habis terjual out sih kakak perempuan keranjang pesanan ",baca,jawab,false,baca,true,baca,true,jawab,false
122,"Yg mau bobow pants dark grey L, bs dm yaa...bs pakai shopee",bobow pants dark grey l dm iya _tanda_titik_ pakai shopee ,abaikan,baca,false,abaikan,true,abaikan,true,abaikan,true
123,Siisst kok size nya S semua ya? @vanillahijab,siisst ukuran nya s iya _tanda_tanya_ _mentionpemilik_ ,jawab,jawab,true,jawab,true,jawab,true,jawab,true
124,size yang lainnya sudh sold mba @uneh_gufre tinggal size S,ukuran sut terjual kakak perempuan _mentionteman_ tinggal ukuran s ,abaikan,abaikan,true,abaikan,true,abaikan,true,abaikan,true
125,"avail bobow pants darkgrey, machiato, loewy & silver. yang minat bisa dm. free ongkir via shopee",avail bobow pants darkgrey machiato luwy & silver _tanda_titik_ minat dm _tanda_titik_ free ongkos kirim via shopee ,abaikan,abaikan,true,abaikan,true,abaikan,true,abaikan,true
126,Done...untuk info pengiriman y gmna ya? @vanillahijab,done _tanda_titik_ informasi pengiriman gmna iya _tanda_tanya_ _mentionpemilik_ ,jawab,abaikan,false,abaikan,false,abaikan,false,jawab,true
127,Ada restok size lg kira2 kpn ya sist utk bobow pants nya @vanillahijab,restok ukuran _angka_ iya kakak perempuan bobow pants nya _mentionpemilik_ ,jawab,jawab,true,jawab,true,jawab,true,abaikan,false
128,"Avail bobow patns dark grey, machiato, loewy dan silver size M.. bagu yg berminat bisa langsung DM ke ig kami mba say.. free ongkir via shopee 😘😘😘",avail bobow patns dark grey machiato luwy silver ukuran m _tanda_titik_ bagu berminat langsung dm ig kakak perempuan sayang _tanda_titik_ free ongkos kirim via shopee _emot_pos_ _emot_pos_ _emot_pos_ ,abaikan,abaikan,true,abaikan,true,abaikan,true,abaikan,true
129,Ada yg avail bobow silver size s ga??,avail bobow silver ukuran s _tanda_tanya_ ,abaikan,abaikan,true,abaikan,true,abaikan,true,abaikan,true
130,Klo mau jual bobow loewy L.. Dm ak yaa..,jual bobow luwy l _tanda_titik_ dm iya _tanda_titik_ ,abaikan,abaikan,true,abaikan,true,abaikan,true,baca,false
131,Brp sis,kakak perempuan ,abaikan,jawab,false,jawab,false,jawab,false,jawab,false
132,Udah sold out semua di web 😭,terjual out web _emot_neg_ ,baca,baca,true,baca,true,baca,true,baca,true
133,Yg ukuran S tinggal warna apa ajja? ukuran S nya seberapa yaa mbk? @ririzamalia @vanillahijab,ukuran s tinggal warna ajja _tanda_tanya_ ukuran s nya iya kakak perempuan _tanda_tanya_ _mentionteman_ _mentionpemilik_ ,jawab,jawab,true,jawab,true,jawab,true,abaikan,false
134,Kaloo ad yg mo lepas bobowpants silver or darkgrey sise S DM yaa sist.... Trimss....,kaloo lepas bobowpants silver or darkgrey sise s dm iya kakak perempuan _tanda_titik_ trimss _tanda_titik_ ,abaikan,abaikan,true,abaikan,true,abaikan,true,abaikan,true
135,"Masih ready bowbow pants silver dan navy size s, minat DM ya",bowbow pants silver navy ukuran s minat dm iya ,abaikan,abaikan,true,abaikan,true,abaikan,true,abaikan,true
136,@n_iyga cek dm y mbak 😊, _mentionteman_ cek dm mbak _emot_pos_ ,abaikan,abaikan,true,abaikan,true,abaikan,true,abaikan,true
137,Avail loewy L navy m darkgrey m,avail luwy l navy m darkgrey m ,abaikan,abaikan,true,abaikan,true,abaikan,true,jawab,false
138,"Masih ready bowbow pants navy s, minat DM ya say",bowbow pants navy s minat dm iya sayang ,abaikan,abaikan,true,abaikan,true,abaikan,true,abaikan,true
139,"Yg masih cari bobow pants silver M,Turqoaz L. bs dm ya😉 tq",cari bobow pants silver m turqoaz l _tanda_titik_ dm iya _emot_pos_ terima kasih ,abaikan,abaikan,true,abaikan,true,abaikan,true,abaikan,true
