aamiin	amin
kebesaran	terlalu besar
kebon	kebun
kece	keren
kecey	keren
kegedean	terlalu besar
kekecilan	terlalu kecil
kelar	selesai
kelebihan	berlebihan
kelewat	terlewat
keluarin	keluarkan
kelupaan	terlupa
kepanjangan	terlalu panjang
kernjang	keranjang
kesel	kesal
keyen	keren
khbsn	kehabisan
kirain	saya pikir
klewatan	terlewat
kliatan	terlihat
klupaan	terlupa
kmaren	kemarin
kmarin	kemarin
kmbali	kembali
kmn	kemana
kmna	kemana
kmren	kemarin
kmu	kamu
knapa	kenapa
kocak	lucu
komen	komentar
komplen	komplain
konfirm	konfirmasi
kowe	kamu
kpan	kapan
kramat	keramat
kranjang	keranjang
kren	keren
krmh	kerumah
krna	karena
krnjang	keranjang
ketinggalan	tertinggal
ktp	kartu tanda penduduk
kuy	ayo
kyut	itum
kzl	kesal
lagih	lagi
lanjutin	lanjutkan
laper	lapar
lbh	lebih
lbih	lebih
lemot	lambat
lgsung	langsung
lucuk	lucu
lucuw	lucu
luv	cinta
mauk	mau
makai	memakai
makasi	terima kasih
make	memakai
makmak	ibu-ibu
males	malas
mantab	mantap
mantengin	melihat
mantep	mantap
manteps	mantap
maren	kemarin
masbro	kakak laki-laki
mash	masih
masi	masih
mauk	mau
maw	mau
mba	kakak perempuan
mbk	kakak perempuan
mdah	mudah
megang	memegang
mesen	pesan
mesti	semestinya
mimin	admin
mintak	meminta
mkasih	terima kasih
mksh	terima kasih
mksi	terima kasih
mnat	minat
moga	semoga
motong	memotong
muehehe	tertawa
mules	mulas
mupeng	ingin
muter	memutar
nahan	menahan
naksir	tertari
nambah	tambah
ndk	tidak
neh	ini
nganter	mengantar
ngasah	mengasah
ngecek	memeriksa
ngecewain	mengecewakan
nggk	tidak
ngincar	mengincar
ngincer	mengincar
ngirim	mengirim
ngiris	mengiris
ngjar	mengajar
ngk	tidak
ngomong	berbicara
ngrti	mengerti
ngulang	mengulang
ngumpetin	menyembunyikan
ngumpulin	mengumpulkan
nitip	menitipkan
njay	anjing
njir	anjing
nmor	nomor
nnya	bertanya
nolak	menolak
nomer	nomor
nongol	muncul
ntr	nanti
nungguin	menunggu
nunjukin	menunjukkan
nutup	menutup
nyatu	menyatu
nyebelin	menyebalkan
nyerap	menyerap
nyesel	menyesal
nyetak	mencetak
nyimpan	menyimpan
nyimpen	menyimpan
nympe	sampai
nyobek	merobek
ohemji	oh my god
ok	oke
okay	oke
okey	oke
orderan	pesanan
ori	asli
original	asli
padahl	padahal
padet	padat
pantengin	tonton
pantes	pantas
pembyrn	pembayaran
pertma	pertama
pesen	pesan
pgn	ingin
pict	gambar
pie	bagaimana
pilihin	pilihkan
piso	pisau
pkek	pakai
pkl	pedagang kaki lima
plis	mohon
pls	mohon
plz	mohon
pngen	ingin
podo	sama
poto	foto
penah	pernah
punyaku	milikku
punyamu	milikmu
puter	putar
qta	kita
rbu	ribu
rebo	rabu
rebutan	berebut
registrasi	pendaftaran
sabi	bisa
salfok	salah fokus
sblh	sebelah
sbr	sabar
sby	surabaya
sdah	sudah
seger	segar
segimana	berapa
sekale	sekali
semalem	semalam
seneng	senang
silahkan	silakan
simpen	simpan
sist	kakak perempuan
sista	kakak perempuan
skg	sekarang
skrg	sekarang
slain	selain
slalu	selalu
smg	semoga
smoga	semoga
smpai	sampai
smpat	sempat
smrg	semarang
spatu	sepatu
srbu	serbu
srgam	seragam
sitimewa	istimewa
stok	persediaan
sukak	suka
syantiek	cantik
syedih	sedih
syuka	suka
syusah	susah
takis	sikat
tancep	menancap
tangsel	tangeran selatan
tau	tahu
tauk	tahu
tebel	tebal
tengkyu	terima kasih
tenkyu	terima kasih
terimakasi	terima kasih
terimakasih	terima kasih
terkdang	terkadang
tetep	tetap
thnks	terima kasih
tjakeup	cakep
tkut	takut
tlong	tolong
tmpat	tempat
tnggu	tunggu
tnpa	tanpa
tnya	tanya
tnyt	ternyata
trbaru	terbaru
trimakasih	terima kasih
trimksh	terima kasih
trjangkau	terjangkau
trlalu	terlalu
ttip	titip
tuker	tukar
ucul	lucu
udaah	sudah
uga	juga
verapa	berapa
wadoh	aduh
waini	ini
wanjir	anjing
wqwq	tertawa
xantik	cantik
yaa	ya
yaah	kecewa
yah	kecewa
yak	ya
yeay	hore
yoi	iya
yok	ayo
yuhu	gembira
yukk	ayo
yuks	ayo




english
account	akun
advice	saran
almost	hampir
always	selalu
another	lainnya
available	tersedia
awesome	bagus
back	kembali
barter	bertukar
beautiful	cantik
booked	dipesan
booking	memesan
bring	bawa
broken	rusak
budget	anggaran
buyer	pembeli
cancel	batal
check	periksa
colors	warna
comment	komentar
contact kontak
conversation	percakapan
cool	keren
cute	lucu
damn	sial
date	tanggal
day	hari
deep	dalam
double	ganda
down	turun
dusty	berdebu
edition	edisi
error	bermasalah
extra	berlebih
fast	cepat
favorite	favorit
fee	biaya
finally	akhirnya
flower	bunga
follow	ikuti
form	bentuk
friend	teman
friendly	bersahabat
game	permainan
gift	hadiah
giveaway	pemberian
good	bagus
grab	ambil
hand	tangan
happy	bahagia
help	tolong
hunt	berburu
instant	instan
last	terakhir
launch	luncur
left	kiri
like	suka
limit	batas
limited	terbatas
locked	terkunci
long	panjang
look	melihat
love	cinta
luck	beruntung
mad	marah
maybe	sepertinya
melody	melodi
message	pesan
money	uang
must	harus
need	butuh
needed	dibutuhkan
new	baru
nice	bagus
now	sekarang
office	kantor
only	hanya
overall	keseluruhan
owner	pemilik
payment	pembayaran
pending	tunda
perfect	sempurna
please	mohon
post	kiriman
price	harga
product	produk
ready	siap
release	melepaskan
repair	memperbaiki
repeat	ulang
request	meminta
respond	menganngapi
response	tanggapan
return	mengembalikan
run	lari
sad	sedih
save	simpan
search	cari
seller	penjual
serious	serius
service	layanan
shipment	pengiriman
shop	toko
simple	sederhana
sister	kakak perempuan
slow	pelan
sold	terjual
soon	segera
stock	persediaan
store	toko
success	sukses
support	dukungan
sweet	manis
time	waktu
today	hari ini
trusted	terpercaya
upload	unggah
user	pengguna
wait	tunggu
